"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","CATTLE","CATTLE, CALVES, VEAL, RAISED OR SOLD - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","178","16.4"
"CENSUS","2017","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CATTLE","CATTLE, CALVES, VEAL, RAISED OR SOLD - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","51","21.9"
"CENSUS","2017","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","CATTLE","CATTLE, CALVES, VEAL, RAISED OR SOLD - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","75","24.0"
"CENSUS","2017","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CATTLE","CATTLE, CALVES, VEAL, RAISED OR SOLD - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","87","42.1"
"CENSUS","2017","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","CATTLE","CATTLE, CALVES, VEAL, RAISED OR SOLD - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","59","45.8"
"CENSUS","2017","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","CATTLE","CATTLE, CALVES, VEAL, RAISED OR SOLD - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","50","77.7"
"CENSUS","2017","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","CATTLE","CATTLE, CALVES, VEAL, RAISED OR SOLD - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","2","(H)"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CATTLE","CATTLE, CALVES, VEAL, RAISED OR SOLD - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","207","35.1"
"CENSUS","2017","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","CATTLE","CATTLE, CALVES, VEAL, RAISED OR SOLD - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","137","(H)"
"CENSUS","2017","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","CATTLE","CATTLE, CALVES, VEAL, RAISED OR SOLD - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","10","(H)"
"CENSUS","2017","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","CATTLE","CATTLE, CALVES, VEAL, RAISED OR SOLD - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","41","50.5"
"CENSUS","2017","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CATTLE","CATTLE, CALVES, VEAL, RAISED OR SOLD - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","92","28.9"
