"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2021","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, SLAUGHTER - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","28,014,800,000",""
"SURVEY","2020","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, SLAUGHTER - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","27,242,900,000",""
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, SLAUGHTER - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","27,224,300,000",""
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, SLAUGHTER - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","26,938,700,000",""
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, SLAUGHTER - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","26,250,700,000",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, SLAUGHTER - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","25,288,100,000",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, SLAUGHTER - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","23,760,300,000",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, SLAUGHTER - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","24,314,500,000",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, SLAUGHTER - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","25,789,900,000",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, SLAUGHTER - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","25,989,400,000",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, SLAUGHTER - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","26,270,400,000",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, SLAUGHTER - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","26,389,200,000",""
