"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","AREA OPERATED","AREA OPERATED: (1,000 TO 1,999 ACRES)","4,044,511","9.4"
"CENSUS","2017","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","AREA OPERATED","AREA OPERATED: (1.0 TO 9.9 ACRES)","371,634","19.0"
"CENSUS","2017","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","AREA OPERATED","AREA OPERATED: (10.0 TO 49.9 ACRES)","1,469,011","4.9"
"CENSUS","2017","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","AREA OPERATED","AREA OPERATED: (100 TO 139 ACRES)","1,324,994","2.9"
"CENSUS","2017","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","AREA OPERATED","AREA OPERATED: (140 TO 179 ACRES)","1,244,791","4.8"
"CENSUS","2017","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","AREA OPERATED","AREA OPERATED: (180 TO 219 ACRES)","1,051,066","2.3"
"CENSUS","2017","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","AREA OPERATED","AREA OPERATED: (2,000 OR MORE ACRES)","11,359,557","3.7"
"CENSUS","2017","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","AREA OPERATED","AREA OPERATED: (220 TO 259 ACRES)","905,121","3.1"
"CENSUS","2017","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","AREA OPERATED","AREA OPERATED: (260 TO 499 ACRES)","3,918,448","2.4"
"CENSUS","2017","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","AREA OPERATED","AREA OPERATED: (50.0 TO 69.9 ACRES)","683,631","5.0"
"CENSUS","2017","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","AREA OPERATED","AREA OPERATED: (500 TO 999 ACRES)","4,301,272","3.4"
"CENSUS","2017","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","AREA OPERATED","AREA OPERATED: (70.0 TO 99.9 ACRES)","1,048,003","2.6"
"CENSUS","2017","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","ECONOMIC CLASS","ECONOMIC CLASS: (1,000 TO 2,499 $)","470,954","4.0"
"CENSUS","2017","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","ECONOMIC CLASS","ECONOMIC CLASS: (1,000,000 OR MORE $)","4,889,677","2.8"
"CENSUS","2017","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","ECONOMIC CLASS","ECONOMIC CLASS: (10,000 TO 24,999 $)","3,020,509","2.3"
"CENSUS","2017","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","ECONOMIC CLASS","ECONOMIC CLASS: (100,000 TO 249,999 $)","5,087,826","7.0"
"CENSUS","2017","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","ECONOMIC CLASS","ECONOMIC CLASS: (2,500 TO 4,999 $)","788,535","2.3"
"CENSUS","2017","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","ECONOMIC CLASS","ECONOMIC CLASS: (25,000 TO 49,999 $)","3,203,702","1.9"
"CENSUS","2017","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","ECONOMIC CLASS","ECONOMIC CLASS: (250,000 TO 499,999 $)","4,380,967","5.4"
"CENSUS","2017","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","ECONOMIC CLASS","ECONOMIC CLASS: (5,000 TO 9,999 $)","1,517,296","3.3"
"CENSUS","2017","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","ECONOMIC CLASS","ECONOMIC CLASS: (50,000 TO 99,999 $)","3,676,865","2.4"
"CENSUS","2017","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","ECONOMIC CLASS","ECONOMIC CLASS: (500,000 TO 999,999 $)","3,800,641","3.8"
"CENSUS","2017","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","ECONOMIC CLASS","ECONOMIC CLASS: (LESS THAN 1,000 $)","885,067","4.4"
"CENSUS","2017","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","FARM SALES","FARM SALES: (1,000 TO 2,499 $)","474,738","3.6"
"CENSUS","2017","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","FARM SALES","FARM SALES: (1,000,000 OR MORE $)","4,753,309","2.9"
"CENSUS","2017","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","FARM SALES","FARM SALES: (10,000 TO 24,999 $)","3,108,020","2.1"
"CENSUS","2017","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","FARM SALES","FARM SALES: (100,000 TO 249,999 $)","5,063,174","7.0"
"CENSUS","2017","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","FARM SALES","FARM SALES: (2,500 TO 4,999 $)","822,369","2.4"
"CENSUS","2017","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","FARM SALES","FARM SALES: (25,000 TO 49,999 $)","3,273,563","1.9"
"CENSUS","2017","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","FARM SALES","FARM SALES: (250,000 TO 499,999 $)","4,323,058","5.3"
"CENSUS","2017","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","FARM SALES","FARM SALES: (5,000 TO 9,999 $)","1,570,624","3.3"
"CENSUS","2017","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","FARM SALES","FARM SALES: (50,000 TO 99,999 $)","3,716,431","2.8"
"CENSUS","2017","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","FARM SALES","FARM SALES: (500,000 TO 999,999 $)","3,650,396","4.1"
"CENSUS","2017","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","FARM SALES","FARM SALES: (LESS THAN 1,000 $)","966,357","4.2"
"CENSUS","2017","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","INVENTORY OF BEEF COWS","INVENTORY OF BEEF COWS: (1 TO 9 HEAD)","1,116,265","3.6"
"CENSUS","2017","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","INVENTORY OF BEEF COWS","INVENTORY OF BEEF COWS: (1,000 TO 2,499 HEAD)","1,643,627","5.1"
"CENSUS","2017","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","INVENTORY OF BEEF COWS","INVENTORY OF BEEF COWS: (10 TO 19 HEAD)","1,998,588","1.7"
"CENSUS","2017","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","INVENTORY OF BEEF COWS","INVENTORY OF BEEF COWS: (100 TO 199 HEAD)","5,652,042","2.3"
"CENSUS","2017","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","INVENTORY OF BEEF COWS","INVENTORY OF BEEF COWS: (2,500 OR MORE HEAD)","889,277","6.8"
"CENSUS","2017","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","INVENTORY OF BEEF COWS","INVENTORY OF BEEF COWS: (2,500 TO 4,999 HEAD)","475,626","8.1"
