"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2021","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","447,468,000",""
"SURVEY","2021","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","2,902,000",""
"SURVEY","2021","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","753,933,000",""
"SURVEY","2021","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","523,936,000",""
"SURVEY","2021","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","3,114,550,000",""
"SURVEY","2021","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","4,219,877,000",""
"SURVEY","2021","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","14,452,000",""
"SURVEY","2021","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","4,724,000",""
"SURVEY","2021","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","546,157,000",""
"SURVEY","2021","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","400,991,000",""
"SURVEY","2021","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","45,667,000",""
"SURVEY","2021","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","1,667,798,000",""
"SURVEY","2021","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","680,692,000",""
"SURVEY","2021","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","402,180,000",""
"SURVEY","2021","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","4,096,344,000",""
"SURVEY","2021","YEAR","","STATE","KANSAS","20","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","9,854,965,000",""
"SURVEY","2021","YEAR","","STATE","KENTUCKY","21","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","878,552,000",""
"SURVEY","2021","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","203,844,000",""
"SURVEY","2021","YEAR","","STATE","MAINE","23","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","21,182,000",""
"SURVEY","2021","YEAR","","STATE","MARYLAND","24","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","84,422,000",""
"SURVEY","2021","YEAR","","STATE","MASSACHUSETTS","25","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","7,249,000",""
"SURVEY","2021","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","572,358,000",""
"SURVEY","2021","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","1,655,063,000",""
"SURVEY","2021","YEAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","215,645,000",""
"SURVEY","2021","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","2,228,518,000",""
"SURVEY","2021","YEAR","","STATE","MONTANA","30","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","1,566,396,000",""
"SURVEY","2021","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","11,354,400,000",""
"SURVEY","2021","YEAR","","STATE","NEVADA","32","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","366,501,000",""
"SURVEY","2021","YEAR","","STATE","NEW HAMPSHIRE","33","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","8,545,000",""
"SURVEY","2021","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","11,192,000",""
"SURVEY","2021","YEAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","1,066,700,000",""
"SURVEY","2021","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","298,007,000",""
"SURVEY","2021","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","260,425,000",""
"SURVEY","2021","YEAR","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","1,148,877,000",""
"SURVEY","2021","YEAR","","STATE","OHIO","39","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","606,540,000",""
"SURVEY","2021","YEAR","","STATE","OKLAHOMA","40","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","3,409,676,000",""
"SURVEY","2021","YEAR","","STATE","OREGON","41","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","839,671,000",""
"SURVEY","2021","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","646,634,000",""
"SURVEY","2021","YEAR","","STATE","RHODE ISLAND","44","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","522,000",""
"SURVEY","2021","YEAR","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","137,392,000",""
"SURVEY","2021","YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","2,932,605,000",""
"SURVEY","2021","YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","582,781,000",""
"SURVEY","2021","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","10,053,767,000",""
"SURVEY","2021","YEAR","","STATE","UTAH","49","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","499,641,000",""
"SURVEY","2021","YEAR","","STATE","VERMONT","50","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","61,277,000",""
"SURVEY","2021","YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","381,428,000",""
"SURVEY","2021","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","1,232,480,000",""
"SURVEY","2021","YEAR","","STATE","WEST VIRGINIA","54","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","176,169,000",""
"SURVEY","2021","YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","1,581,642,000",""
"SURVEY","2021","YEAR","","STATE","WYOMING","56","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","1,006,907,000",""
"SURVEY","2020","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","389,996,000",""
"SURVEY","2020","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","4,379,000",""
"SURVEY","2020","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","672,658,000",""
"SURVEY","2020","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","430,021,000",""
"SURVEY","2020","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","2,736,559,000",""
"SURVEY","2020","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","3,746,932,000",""
"SURVEY","2020","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","13,683,000",""
"SURVEY","2020","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","6,506,000",""
"SURVEY","2020","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","478,889,000",""
"SURVEY","2020","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","331,584,000",""
"SURVEY","2020","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","40,317,000",""
"SURVEY","2020","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","CATTLE","CATTLE, INCL CALVES, (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","1,582,521,000",""
