"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","00000000","","CCC LOANS","CCC LOANS - OPERATIONS WITH RECEIPTS","TOTAL","NOT SPECIFIED","28","30.1"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","00000000","","CCC LOANS","CCC LOANS - OPERATIONS WITH REPAYMENTS","TOTAL","NOT SPECIFIED","27","34.2"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","00000000","","CCC LOANS","CCC LOANS - RECEIPTS, MEASURED IN $","TOTAL","NOT SPECIFIED","2,261,000","34.9"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","00000000","","CCC LOANS","CCC LOANS - REPAYMENTS, MEASURED IN $","TOTAL","NOT SPECIFIED","2,204,000","39.6"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","DALLAS","049","","","00000000","","CCC LOANS","CCC LOANS - OPERATIONS WITH RECEIPTS","TOTAL","NOT SPECIFIED","14","30.1"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","DALLAS","049","","","00000000","","CCC LOANS","CCC LOANS - OPERATIONS WITH REPAYMENTS","TOTAL","NOT SPECIFIED","13","34.2"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","DALLAS","049","","","00000000","","CCC LOANS","CCC LOANS - RECEIPTS, MEASURED IN $","TOTAL","NOT SPECIFIED","2,794,000","34.9"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","DALLAS","049","","","00000000","","CCC LOANS","CCC LOANS - REPAYMENTS, MEASURED IN $","TOTAL","NOT SPECIFIED","2,386,000","39.6"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","GRUNDY","075","","","00000000","","CCC LOANS","CCC LOANS - OPERATIONS WITH RECEIPTS","TOTAL","NOT SPECIFIED","19","30.1"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","GRUNDY","075","","","00000000","","CCC LOANS","CCC LOANS - OPERATIONS WITH REPAYMENTS","TOTAL","NOT SPECIFIED","18","34.2"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","GRUNDY","075","","","00000000","","CCC LOANS","CCC LOANS - RECEIPTS, MEASURED IN $","TOTAL","NOT SPECIFIED","2,308,000","34.9"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","GRUNDY","075","","","00000000","","CCC LOANS","CCC LOANS - REPAYMENTS, MEASURED IN $","TOTAL","NOT SPECIFIED","1,505,000","39.6"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","HAMILTON","079","","","00000000","","CCC LOANS","CCC LOANS - OPERATIONS WITH RECEIPTS","TOTAL","NOT SPECIFIED","22","30.1"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","HAMILTON","079","","","00000000","","CCC LOANS","CCC LOANS - OPERATIONS WITH REPAYMENTS","TOTAL","NOT SPECIFIED","20","34.2"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","HAMILTON","079","","","00000000","","CCC LOANS","CCC LOANS - RECEIPTS, MEASURED IN $","TOTAL","NOT SPECIFIED","2,614,000","34.9"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","HAMILTON","079","","","00000000","","CCC LOANS","CCC LOANS - REPAYMENTS, MEASURED IN $","TOTAL","NOT SPECIFIED","1,945,000","39.6"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","HARDIN","083","","","00000000","","CCC LOANS","CCC LOANS - OPERATIONS WITH RECEIPTS","TOTAL","NOT SPECIFIED","29","30.1"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","HARDIN","083","","","00000000","","CCC LOANS","CCC LOANS - OPERATIONS WITH REPAYMENTS","TOTAL","NOT SPECIFIED","28","34.2"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","HARDIN","083","","","00000000","","CCC LOANS","CCC LOANS - RECEIPTS, MEASURED IN $","TOTAL","NOT SPECIFIED","4,336,000","34.9"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","HARDIN","083","","","00000000","","CCC LOANS","CCC LOANS - REPAYMENTS, MEASURED IN $","TOTAL","NOT SPECIFIED","3,809,000","39.6"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","JASPER","099","","","00000000","","CCC LOANS","CCC LOANS - OPERATIONS WITH RECEIPTS","TOTAL","NOT SPECIFIED","29","30.1"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","JASPER","099","","","00000000","","CCC LOANS","CCC LOANS - OPERATIONS WITH REPAYMENTS","TOTAL","NOT SPECIFIED","31","34.2"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","JASPER","099","","","00000000","","CCC LOANS","CCC LOANS - RECEIPTS, MEASURED IN $","TOTAL","NOT SPECIFIED","3,788,000","34.9"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","JASPER","099","","","00000000","","CCC LOANS","CCC LOANS - REPAYMENTS, MEASURED IN $","TOTAL","NOT SPECIFIED","3,227,000","39.6"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","MARSHALL","127","","","00000000","","CCC LOANS","CCC LOANS - OPERATIONS WITH RECEIPTS","TOTAL","NOT SPECIFIED","23","30.1"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","MARSHALL","127","","","00000000","","CCC LOANS","CCC LOANS - OPERATIONS WITH REPAYMENTS","TOTAL","NOT SPECIFIED","26","34.2"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","MARSHALL","127","","","00000000","","CCC LOANS","CCC LOANS - RECEIPTS, MEASURED IN $","TOTAL","NOT SPECIFIED","3,589,000","34.9"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","MARSHALL","127","","","00000000","","CCC LOANS","CCC LOANS - REPAYMENTS, MEASURED IN $","TOTAL","NOT SPECIFIED","3,533,000","39.6"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","POLK","153","","","00000000","","CCC LOANS","CCC LOANS - OPERATIONS WITH RECEIPTS","TOTAL","NOT SPECIFIED","15","30.1"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","POLK","153","","","00000000","","CCC LOANS","CCC LOANS - OPERATIONS WITH REPAYMENTS","TOTAL","NOT SPECIFIED","5","34.2"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","POLK","153","","","00000000","","CCC LOANS","CCC LOANS - RECEIPTS, MEASURED IN $","TOTAL","NOT SPECIFIED","808,000","34.9"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","POLK","153","","","00000000","","CCC LOANS","CCC LOANS - REPAYMENTS, MEASURED IN $","TOTAL","NOT SPECIFIED","462,000","39.6"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","POWESHIEK","157","","","00000000","","CCC LOANS","CCC LOANS - OPERATIONS WITH RECEIPTS","TOTAL","NOT SPECIFIED","21","30.1"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","POWESHIEK","157","","","00000000","","CCC LOANS","CCC LOANS - OPERATIONS WITH REPAYMENTS","TOTAL","NOT SPECIFIED","12","34.2"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","POWESHIEK","157","","","00000000","","CCC LOANS","CCC LOANS - RECEIPTS, MEASURED IN $","TOTAL","NOT SPECIFIED","539,000","34.9"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","POWESHIEK","157","","","00000000","","CCC LOANS","CCC LOANS - REPAYMENTS, MEASURED IN $","TOTAL","NOT SPECIFIED","893,000","39.6"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","STORY","169","","","00000000","","CCC LOANS","CCC LOANS - OPERATIONS WITH RECEIPTS","TOTAL","NOT SPECIFIED","25","30.1"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","STORY","169","","","00000000","","CCC LOANS","CCC LOANS - OPERATIONS WITH REPAYMENTS","TOTAL","NOT SPECIFIED","18","34.2"
