"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","CHUKARS","CHUKARS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","3","(H)"
"CENSUS","2017","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","CHUKARS","CHUKARS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","78,000","(H)"
"CENSUS","2017","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","CHUKARS","CHUKARS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","1","(L)"
"CENSUS","2017","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","CHUKARS","CHUKARS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CHUKARS","CHUKARS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","8","98.4"
"CENSUS","2017","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CHUKARS","CHUKARS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","31","99.5"
"CENSUS","2017","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","CHUKARS","CHUKARS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","2","6.8"
"CENSUS","2017","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","CHUKARS","CHUKARS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHUKARS","CHUKARS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","13","62.5"
"CENSUS","2017","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHUKARS","CHUKARS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","38,140","8.2"
"CENSUS","2017","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","CHUKARS","CHUKARS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","16","50.0"
"CENSUS","2017","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","CHUKARS","CHUKARS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","26,143","6.4"
"CENSUS","2017","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","CHUKARS","CHUKARS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","11","85.2"
"CENSUS","2017","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","CHUKARS","CHUKARS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","2,555","18.9"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CHUKARS","CHUKARS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","6","27.6"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CHUKARS","CHUKARS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","3,920","13.0"
"CENSUS","2017","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","CHUKARS","CHUKARS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","3","(H)"
"CENSUS","2017","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","CHUKARS","CHUKARS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","60","(H)"
"CENSUS","2017","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","CHUKARS","CHUKARS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","11","45.7"
"CENSUS","2017","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","CHUKARS","CHUKARS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","41,176","(H)"
"CENSUS","2017","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CHUKARS","CHUKARS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","9","34.8"
"CENSUS","2017","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CHUKARS","CHUKARS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","42,205","7.0"
"CENSUS","2017","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CHUKARS","CHUKARS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","1","4.9"
