"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","EMUS","EMUS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","4","84.8"
"CENSUS","2017","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","EMUS","EMUS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","46","69.5"
"CENSUS","2017","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","EMUS","EMUS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","6","99.5"
"CENSUS","2017","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","EMUS","EMUS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","20","(H)"
"CENSUS","2017","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","EMUS","EMUS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","1","9.5"
"CENSUS","2017","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","EMUS","EMUS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","EMUS","EMUS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","16","(H)"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","EMUS","EMUS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","63","88.6"
"CENSUS","2017","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","EMUS","EMUS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","8","(H)"
"CENSUS","2017","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","EMUS","EMUS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","28","(H)"
"CENSUS","2017","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","EMUS","EMUS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","2","75.4"
"CENSUS","2017","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","EMUS","EMUS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","EMUS","EMUS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","1","5.7"
"CENSUS","2017","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","EMUS","EMUS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","IOWA","19","","","","","","","00000000","","EMUS","EMUS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","8","54.3"
"CENSUS","2017","YEAR","","STATE","IOWA","19","","","","","","","00000000","","EMUS","EMUS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","217","70.8"
"CENSUS","2017","YEAR","","STATE","KANSAS","20","","","","","","","00000000","","EMUS","EMUS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","4","70.2"
"CENSUS","2017","YEAR","","STATE","KANSAS","20","","","","","","","00000000","","EMUS","EMUS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","71","20.6"
"CENSUS","2017","YEAR","","STATE","KENTUCKY","21","","","","","","","00000000","","EMUS","EMUS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","5","(H)"
"CENSUS","2017","YEAR","","STATE","KENTUCKY","21","","","","","","","00000000","","EMUS","EMUS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","9","(H)"
"CENSUS","2017","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","EMUS","EMUS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","1","9.2"
"CENSUS","2017","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","EMUS","EMUS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
