"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","GUINEAS","GUINEAS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","64","94.2"
"CENSUS","2017","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","GUINEAS","GUINEAS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,590","37.9"
"CENSUS","2017","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","GUINEAS","GUINEAS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","6","30.1"
"CENSUS","2017","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","GUINEAS","GUINEAS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","346","6.3"
"CENSUS","2017","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","GUINEAS","GUINEAS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","24","57.2"
"CENSUS","2017","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","GUINEAS","GUINEAS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","422","76.0"
"CENSUS","2017","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","GUINEAS","GUINEAS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","39","51.6"
"CENSUS","2017","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","GUINEAS","GUINEAS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,239","33.1"
"CENSUS","2017","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GUINEAS","GUINEAS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","50","45.4"
"CENSUS","2017","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GUINEAS","GUINEAS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","GUINEAS","GUINEAS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","60","(H)"
"CENSUS","2017","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","GUINEAS","GUINEAS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","785","(H)"
"CENSUS","2017","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","GUINEAS","GUINEAS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","25","68.7"
"CENSUS","2017","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","GUINEAS","GUINEAS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,514","(H)"
"CENSUS","2017","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","GUINEAS","GUINEAS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","6","36.0"
"CENSUS","2017","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","GUINEAS","GUINEAS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","121","30.6"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","GUINEAS","GUINEAS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","88","57.6"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","GUINEAS","GUINEAS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","5,535","(H)"
"CENSUS","2017","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","GUINEAS","GUINEAS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","79","(H)"
"CENSUS","2017","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","GUINEAS","GUINEAS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,481","(H)"
"CENSUS","2017","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","GUINEAS","GUINEAS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","32","85.4"
"CENSUS","2017","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","GUINEAS","GUINEAS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","307","66.4"
"CENSUS","2017","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","GUINEAS","GUINEAS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","28","46.3"
"CENSUS","2017","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","GUINEAS","GUINEAS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","324","32.9"
"CENSUS","2017","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","GUINEAS","GUINEAS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","63","(H)"
"CENSUS","2017","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","GUINEAS","GUINEAS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,067","(H)"
"CENSUS","2017","YEAR","","STATE","IOWA","19","","","","","","","00000000","","GUINEAS","GUINEAS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","45","69.7"
"CENSUS","2017","YEAR","","STATE","IOWA","19","","","","","","","00000000","","GUINEAS","GUINEAS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","KANSAS","20","","","","","","","00000000","","GUINEAS","GUINEAS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","66","(H)"
"CENSUS","2017","YEAR","","STATE","KANSAS","20","","","","","","","00000000","","GUINEAS","GUINEAS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","2,956","(H)"
"CENSUS","2017","YEAR","","STATE","KENTUCKY","21","","","","","","","00000000","","GUINEAS","GUINEAS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","115","59.1"
"CENSUS","2017","YEAR","","STATE","KENTUCKY","21","","","","","","","00000000","","GUINEAS","GUINEAS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,604","44.2"
"CENSUS","2017","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","GUINEAS","GUINEAS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","26","(H)"
"CENSUS","2017","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","GUINEAS","GUINEAS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","397","(H)"
"CENSUS","2017","YEAR","","STATE","MAINE","23","","","","","","","00000000","","GUINEAS","GUINEAS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","35","(H)"
"CENSUS","2017","YEAR","","STATE","MAINE","23","","","","","","","00000000","","GUINEAS","GUINEAS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","400","83.5"
"CENSUS","2017","YEAR","","STATE","MARYLAND","24","","","","","","","00000000","","GUINEAS","GUINEAS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","43","99.1"
"CENSUS","2017","YEAR","","STATE","MARYLAND","24","","","","","","","00000000","","GUINEAS","GUINEAS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","2,272","(H)"
