"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","PARTRIDGES","PARTRIDGES, HUNGARIAN - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","1","8.6"
"CENSUS","2017","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","PARTRIDGES","PARTRIDGES, HUNGARIAN - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","PARTRIDGES","PARTRIDGES, HUNGARIAN - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","1","1.7"
"CENSUS","2017","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","PARTRIDGES","PARTRIDGES, HUNGARIAN - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","PARTRIDGES","PARTRIDGES, HUNGARIAN - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","2","99.0"
"CENSUS","2017","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","PARTRIDGES","PARTRIDGES, HUNGARIAN - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","MARYLAND","24","","","","","","","00000000","","PARTRIDGES","PARTRIDGES, HUNGARIAN - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","1","10.4"
"CENSUS","2017","YEAR","","STATE","MARYLAND","24","","","","","","","00000000","","PARTRIDGES","PARTRIDGES, HUNGARIAN - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","PARTRIDGES","PARTRIDGES, HUNGARIAN - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","1","6.3"
"CENSUS","2017","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","PARTRIDGES","PARTRIDGES, HUNGARIAN - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
