"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","TURKEYS","TURKEYS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","6","59.0"
"CENSUS","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","TURKEYS","TURKEYS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","60,053,171","73.3"
"CENSUS","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","TURKEYS","TURKEYS, ORGANIC - SALES, MEASURED IN HEAD","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1,118,376","68.9"
"CENSUS","2019","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","TURKEYS","TURKEYS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1","94.2"
"CENSUS","2019","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","TURKEYS","TURKEYS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2019","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","TURKEYS","TURKEYS, ORGANIC - SALES, MEASURED IN HEAD","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2019","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","TURKEYS","TURKEYS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","53.8"
"CENSUS","2019","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","TURKEYS","TURKEYS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2019","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","TURKEYS","TURKEYS, ORGANIC - SALES, MEASURED IN HEAD","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2019","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","TURKEYS","TURKEYS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","53.8"
