GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,TRBL_SUBA,ANRCA,MSA_CMSAA,PMSAA,NECMAA,URB_AREAA,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,NAME,GMY001,Median_Household_Income_Adjusted
G0100010,2000,3,6,Alabama,1,Autauga,1,,,,,,,,,,,,,5240,9999,9999,,,,,,,,Autauga County,42013,53200.85208
G0100030,2000,3,6,Alabama,1,Baldwin,3,,,,,,,,,,,,,5160,9999,9999,,,,,,,,Baldwin County,40250,50968.37398
G0100050,2000,3,6,Alabama,1,Barbour,5,,,,,,,,,,,,,9999,9999,9999,,,,,,,,Barbour County,25101,31785.27094
G0100070,2000,3,6,Alabama,1,Bibb,7,,,,,,,,,,,,,9999,9999,9999,,,,,,,,Bibb County,31420,39786.98908
G0100090,2000,3,6,Alabama,1,Blount,9,,,,,,,,,,,,,1000,9999,9999,,,,,,,,Blount County,35241,44625.5023
G0100110,2000,3,6,Alabama,1,Bullock,11,,,,,,,,,,,,,9999,9999,9999,,,,,,,,Bullock County,20605,26092.00859
G0100130,2000,3,6,Alabama,1,Butler,13,,,,,,,,,,,,,9999,9999,9999,,,,,,,,Butler County,24791,31392.71949
G0100150,2000,3,6,Alabama,1,Calhoun,15,,,,,,,,,,,,,450,9999,9999,,,,,,,,Calhoun County,31768,40227.65974
G0100170,2000,3,6,Alabama,1,Chambers,17,,,,,,,,,,,,,9999,9999,9999,,,,,,,,Chambers County,29667,37567.17394
G0100190,2000,3,6,Alabama,1,Cherokee,19,,,,,,,,,,,,,9999,9999,9999,,,,,,,,Cherokee County,30874,39095.59201
G0100210,2000,3,6,Alabama,1,Chilton,21,,,,,,,,,,,,,9999,9999,9999,,,,,,,,Chilton County,32588,41266.02165
G0100230,2000,3,6,Alabama,1,Choctaw,23,,,,,,,,,,,,,9999,9999,9999,,,,,,,,Choctaw County,24749,31339.5351
