"GISJOIN","YEAR","REGIONA","DIVISIONA","STATE","STATEA","COUNTY","COUNTYA","COUSUBA","PLACEA","TRACTA","BLKGRPA","CONCITA","AIANHHA","RES_ONLYA","TRUSTA","AITSCEA","ANRCA","CBSAA","CSAA","METDIVA","NECTAA","CNECTAA","NECTADIVA","UAA","CDCURRA","SLDUA","SLDLA","SUBMCDA","SDELMA","SDSECA","SDUNIA","PUMA5A","BTTRA","BTBGA","NAME_E","JOIE001","NAME_M","JOIM001"
"G0100010","2006-2010",NA,NA,"Alabama",1,"Autauga",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Autauga County, Alabama",53255,"Autauga County, Alabama",2420
"G0100030","2006-2010",NA,NA,"Alabama",1,"Baldwin",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Baldwin County, Alabama",50147,"Baldwin County, Alabama",1046
"G0100050","2006-2010",NA,NA,"Alabama",1,"Barbour",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Barbour County, Alabama",33219,"Barbour County, Alabama",1889
"G0100070","2006-2010",NA,NA,"Alabama",1,"Bibb",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bibb County, Alabama",41770,"Bibb County, Alabama",3139
"G0100090","2006-2010",NA,NA,"Alabama",1,"Blount",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Blount County, Alabama",45549,"Blount County, Alabama",1804
"G0100110","2006-2010",NA,NA,"Alabama",1,"Bullock",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bullock County, Alabama",31602,"Bullock County, Alabama",6819
"G0100130","2006-2010",NA,NA,"Alabama",1,"Butler",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Butler County, Alabama",30659,"Butler County, Alabama",2487
"G0100150","2006-2010",NA,NA,"Alabama",1,"Calhoun",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Calhoun County, Alabama",38407,"Calhoun County, Alabama",1406
"G0100170","2006-2010",NA,NA,"Alabama",1,"Chambers",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chambers County, Alabama",31467,"Chambers County, Alabama",1300
"G0100190","2006-2010",NA,NA,"Alabama",1,"Cherokee",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cherokee County, Alabama",40690,"Cherokee County, Alabama",2546
"G0100210","2006-2010",NA,NA,"Alabama",1,"Chilton",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chilton County, Alabama",39486,"Chilton County, Alabama",2707
"G0100230","2006-2010",NA,NA,"Alabama",1,"Choctaw",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Choctaw County, Alabama",31076,"Choctaw County, Alabama",3328
"G0100250","2006-2010",NA,NA,"Alabama",1,"Clarke",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clarke County, Alabama",27439,"Clarke County, Alabama",1684
"G0100270","2006-2010",NA,NA,"Alabama",1,"Clay",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clay County, Alabama",35595,"Clay County, Alabama",5045
"G0100290","2006-2010",NA,NA,"Alabama",1,"Cleburne",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cleburne County, Alabama",36077,"Cleburne County, Alabama",3003
"G0100310","2006-2010",NA,NA,"Alabama",1,"Coffee",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coffee County, Alabama",42253,"Coffee County, Alabama",2075
"G0100330","2006-2010",NA,NA,"Alabama",1,"Colbert",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Colbert County, Alabama",39610,"Colbert County, Alabama",1384
"G0100350","2006-2010",NA,NA,"Alabama",1,"Conecuh",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conecuh County, Alabama",26944,"Conecuh County, Alabama",4076
"G0100370","2006-2010",NA,NA,"Alabama",1,"Coosa",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coosa County, Alabama",35560,"Coosa County, Alabama",3142
"G0100390","2006-2010",NA,NA,"Alabama",1,"Covington",39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Covington County, Alabama",33852,"Covington County, Alabama",1905
