"GEOID","NAME","variable","value"
"01001","Autauga County, Alabama","P002001",43671
"01003","Baldwin County, Alabama","P002001",140415
"01005","Barbour County, Alabama","P002001",29038
"01007","Bibb County, Alabama","P002001",20826
"01009","Blount County, Alabama","P002001",51024
"01011","Bullock County, Alabama","P002001",11714
"01013","Butler County, Alabama","P002001",21399
"01015","Calhoun County, Alabama","P002001",112249
"01017","Chambers County, Alabama","P002001",36583
"01019","Cherokee County, Alabama","P002001",23988
"01021","Chilton County, Alabama","P002001",39593
"01023","Choctaw County, Alabama","P002001",15922
"01025","Clarke County, Alabama","P002001",27867
"01027","Clay County, Alabama","P002001",14254
"01029","Cleburne County, Alabama","P002001",14123
"01031","Coffee County, Alabama","P002001",43615
"01033","Colbert County, Alabama","P002001",54984
"01035","Conecuh County, Alabama","P002001",14089
"01037","Coosa County, Alabama","P002001",12202
"01039","Covington County, Alabama","P002001",37631
"01041","Crenshaw County, Alabama","P002001",13665
"01043","Cullman County, Alabama","P002001",77483
"01045","Dale County, Alabama","P002001",49129
"01047","Dallas County, Alabama","P002001",46365
"01049","DeKalb County, Alabama","P002001",64452
"01051","Elmore County, Alabama","P002001",65874
"01053","Escambia County, Alabama","P002001",38440
"01055","Etowah County, Alabama","P002001",103459
"01057","Fayette County, Alabama","P002001",18495
"01059","Franklin County, Alabama","P002001",31223
"01061","Geneva County, Alabama","P002001",25764
"01063","Greene County, Alabama","P002001",9974
"01065","Hale County, Alabama","P002001",17185
"01067","Henry County, Alabama","P002001",16310
"01069","Houston County, Alabama","P002001",88787
"01071","Jackson County, Alabama","P002001",53926
"01073","Jefferson County, Alabama","P002001",662047
"01075","Lamar County, Alabama","P002001",15904
"01077","Lauderdale County, Alabama","P002001",87966
"01079","Lawrence County, Alabama","P002001",34803
"01081","Lee County, Alabama","P002001",115092
"01083","Limestone County, Alabama","P002001",65676
"01085","Lowndes County, Alabama","P002001",13473
"01087","Macon County, Alabama","P002001",24105
"01089","Madison County, Alabama","P002001",276700
"01091","Marengo County, Alabama","P002001",22539
"01093","Marion County, Alabama","P002001",31214
"01095","Marshall County, Alabama","P002001",82231
"01097","Mobile County, Alabama","P002001",399843
"01099","Monroe County, Alabama","P002001",24324
"01101","Montgomery County, Alabama","P002001",223510
"01103","Morgan County, Alabama","P002001",111064
"01105","Perry County, Alabama","P002001",11861
"01107","Pickens County, Alabama","P002001",20949
"01109","Pike County, Alabama","P002001",29605
"01111","Randolph County, Alabama","P002001",22380
"01113","Russell County, Alabama","P002001",49756
"01115","St. Clair County, Alabama","P002001",64742
"01117","Shelby County, Alabama","P002001",143293
"01119","Sumter County, Alabama","P002001",14798
"01121","Talladega County, Alabama","P002001",80321
"01123","Tallapoosa County, Alabama","P002001",41475
"01125","Tuscaloosa County, Alabama","P002001",164875
"01127","Walker County, Alabama","P002001",70713
"01129","Washington County, Alabama","P002001",18097
"01131","Wilcox County, Alabama","P002001",13183
"01133","Winston County, Alabama","P002001",24843
"02013","Aleutians East Borough, Alaska","P002001",2697
"02016","Aleutians West Census Area, Alaska","P002001",5465
"02020","Anchorage Municipality, Alaska","P002001",260283
"02050","Bethel Census Area, Alaska","P002001",16006
"02060","Bristol Bay Borough, Alaska","P002001",1258
"02068","Denali Borough, Alaska","P002001",1893
"02070","Dillingham Census Area, Alaska","P002001",4922
"02090","Fairbanks North Star Borough, Alaska","P002001",82840
"02100","Haines Borough, Alaska","P002001",2392
"02110","Juneau City and Borough, Alaska","P002001",30711
"02122","Kenai Peninsula Borough, Alaska","P002001",49691
"02130","Ketchikan Gateway Borough, Alaska","P002001",14070
"02150","Kodiak Island Borough, Alaska","P002001",13913
"02164","Lake and Peninsula Borough, Alaska","P002001",1823
"02170","Matanuska-Susitna Borough, Alaska","P002001",59322
"02180","Nome Census Area, Alaska","P002001",9196
"02185","North Slope Borough, Alaska","P002001",7385
"02188","Northwest Arctic Borough, Alaska","P002001",7208
"02201","Prince of Wales-Outer Ketchikan Census Area, Alaska","P002001",6146
"02220","Sitka City and Borough, Alaska","P002001",8835
"02232","Skagway-Hoonah-Angoon Census Area, Alaska","P002001",3436
"02240","Southeast Fairbanks Census Area, Alaska","P002001",6174
"02261","Valdez-Cordova Census Area, Alaska","P002001",10195
"02270","Wade Hampton Census Area, Alaska","P002001",7028
"02280","Wrangell-Petersburg Census Area, Alaska","P002001",6684
"02282","Yakutat City and Borough, Alaska","P002001",808
"02290","Yukon-Koyukuk Census Area, Alaska","P002001",6551
"04001","Apache County, Arizona","P002001",69423
"04003","Cochise County, Arizona","P002001",117755
"04005","Coconino County, Arizona","P002001",116320
"04007","Gila County, Arizona","P002001",51335
"04009","Graham County, Arizona","P002001",33489
"04011","Greenlee County, Arizona","P002001",8547
"04012","La Paz County, Arizona","P002001",19715
"04013","Maricopa County, Arizona","P002001",3072149
"04015","Mohave County, Arizona","P002001",155032
"04017","Navajo County, Arizona","P002001",97470
"04019","Pima County, Arizona","P002001",843746
"04021","Pinal County, Arizona","P002001",179727
"04023","Santa Cruz County, Arizona","P002001",38381
