"","GEOID","NAME","variable","value"
"1","05131","Sebastian County, Arkansas","P002001",125744
"2","05133","Sevier County, Arkansas","P002001",17058
"3","05135","Sharp County, Arkansas","P002001",17264
"4","05137","Stone County, Arkansas","P002001",12394
"5","05139","Union County, Arkansas","P002001",41639
"6","05141","Van Buren County, Arkansas","P002001",17295
"7","05143","Washington County, Arkansas","P002001",203065
"8","05145","White County, Arkansas","P002001",77076
"9","05149","Yell County, Arkansas","P002001",22185
"10","06011","Colusa County, California","P002001",21419
"11","06007","Butte County, California","P002001",220000
"12","06001","Alameda County, California","P002001",1510271
"13","06003","Alpine County, California","P002001",1175
"14","06005","Amador County, California","P002001",38091
"15","06009","Calaveras County, California","P002001",45578
"16","06013","Contra Costa County, California","P002001",1049025
"17","06015","Del Norte County, California","P002001",28610
"18","06031","Kings County, California","P002001",152982
"19","06021","Glenn County, California","P002001",28122
"20","06023","Humboldt County, California","P002001",134623
"21","06025","Imperial County, California","P002001",174528
"22","06017","El Dorado County, California","P002001",181058
"23","06019","Fresno County, California","P002001",930450
"24","06027","Inyo County, California","P002001",18546
"25","06029","Kern County, California","P002001",839631
"26","06043","Mariposa County, California","P002001",18251
"27","06033","Lake County, California","P002001",64665
"28","06035","Lassen County, California","P002001",34895
"29","06037","Los Angeles County, California","P002001",9818605
"30","06039","Madera County, California","P002001",150865
"31","06041","Marin County, California","P002001",252409
"32","06059","Orange County, California","P002001",3010232
"33","06045","Mendocino County, California","P002001",87841
"34","06047","Merced County, California","P002001",255793
"35","06049","Modoc County, California","P002001",9686
"36","06051","Mono County, California","P002001",14202
"37","06053","Monterey County, California","P002001",415057
"38","06055","Napa County, California","P002001",136484
"39","06057","Nevada County, California","P002001",98764
"40","06071","San Bernardino County, California","P002001",2035210
"41","06067","Sacramento County, California","P002001",1418788
"42","06069","San Benito County, California","P002001",55269
"43","06061","Placer County, California","P002001",348432
"44","06063","Plumas County, California","P002001",20007
"45","06065","Riverside County, California","P002001",2189641
"46","01001","Autauga County, Alabama","P002001",54571
"47","01007","Bibb County, Alabama","P002001",22915
"48","01017","Chambers County, Alabama","P002001",34215
"49","01019","Cherokee County, Alabama","P002001",25989
"50","01025","Clarke County, Alabama","P002001",25833
"51","01013","Butler County, Alabama","P002001",20947
"52","01009","Blount County, Alabama","P002001",57322
"53","01011","Bullock County, Alabama","P002001",10914
"54","01021","Chilton County, Alabama","P002001",43643
"55","01023","Choctaw County, Alabama","P002001",13859
"56","01037","Coosa County, Alabama","P002001",11539
"57","01027","Clay County, Alabama","P002001",13932
"58","01029","Cleburne County, Alabama","P002001",14972
"59","01031","Coffee County, Alabama","P002001",49948
"60","01035","Conecuh County, Alabama","P002001",13228
"61","01033","Colbert County, Alabama","P002001",54428
"62","01053","Escambia County, Alabama","P002001",38319
"63","01039","Covington County, Alabama","P002001",37765
"64","01041","Crenshaw County, Alabama","P002001",13906
"65","01043","Cullman County, Alabama","P002001",80406
"66","01045","Dale County, Alabama","P002001",50251
"67","01047","Dallas County, Alabama","P002001",43820
"68","01049","DeKalb County, Alabama","P002001",71109
"69","01051","Elmore County, Alabama","P002001",79303
"70","01065","Hale County, Alabama","P002001",15760
"71","01055","Etowah County, Alabama","P002001",104430
"72","01057","Fayette County, Alabama","P002001",17241
"73","01059","Franklin County, Alabama","P002001",31704
"74","01061","Geneva County, Alabama","P002001",26790
"75","01063","Greene County, Alabama","P002001",9045
"76","01081","Lee County, Alabama","P002001",140247
"77","01067","Henry County, Alabama","P002001",17302
"78","01069","Houston County, Alabama","P002001",101547
"79","01071","Jackson County, Alabama","P002001",53227
"80","01073","Jefferson County, Alabama","P002001",658466
"81","01075","Lamar County, Alabama","P002001",14564
"82","01077","Lauderdale County, Alabama","P002001",92709
"83","01079","Lawrence County, Alabama","P002001",34339
"84","01099","Monroe County, Alabama","P002001",23068
"85","01083","Limestone County, Alabama","P002001",82782
"86","01085","Lowndes County, Alabama","P002001",11299
"87","01087","Macon County, Alabama","P002001",21452
"88","01089","Madison County, Alabama","P002001",334811
"89","01091","Marengo County, Alabama","P002001",21027
"90","01093","Marion County, Alabama","P002001",30776
"91","01097","Mobile County, Alabama","P002001",412992
"92","01095","Marshall County, Alabama","P002001",93019
"93","01115","St. Clair County, Alabama","P002001",83593
"94","01101","Montgomery County, Alabama","P002001",229363
"95","01103","Morgan County, Alabama","P002001",119490
"96","01105","Perry County, Alabama","P002001",10591
"97","01107","Pickens County, Alabama","P002001",19746
"98","01109","Pike County, Alabama","P002001",32899
"99","01111","Randolph County, Alabama","P002001",22913
"100","01113","Russell County, Alabama","P002001",52947
"101","01127","Walker County, Alabama","P002001",67023
"102","01117","Shelby County, Alabama","P002001",195085
"103","01119","Sumter County, Alabama","P002001",13763
"104","01121","Talladega County, Alabama","P002001",82291
"105","01123","Tallapoosa County, Alabama","P002001",41616
"106","01125","Tuscaloosa County, Alabama","P002001",194656
"107","02090","Fairbanks North Star Borough, Alaska","P002001",97581
"108","01129","Washington County, Alabama","P002001",17581
"109","01131","Wilcox County, Alabama","P002001",11670
"110","01133","Winston County, Alabama","P002001",24484
"111","02013","Aleutians East Borough, Alaska","P002001",3141
"112","02016","Aleutians West Census Area, Alaska","P002001",5561
"113","02068","Denali Borough, Alaska","P002001",1826
"114","02070","Dillingham Census Area, Alaska","P002001",4847
"115","02060","Bristol Bay Borough, Alaska","P002001",997
"116","08023","Costilla County, Colorado","P002001",3524
"117","08025","Crowley County, Colorado","P002001",5823
"118","08027","Custer County, Colorado","P002001",4255
"119","08029","Delta County, Colorado","P002001",30952
"120","08031","Denver County, Colorado","P002001",600158
"121","08035","Douglas County, Colorado","P002001",285465
"122","08033","Dolores County, Colorado","P002001",2064
"123","08049","Grand County, Colorado","P002001",14843
"124","08039","Elbert County, Colorado","P002001",23086
"125","08041","El Paso County, Colorado","P002001",622263
"126","08043","Fremont County, Colorado","P002001",46824
"127","08045","Garfield County, Colorado","P002001",56389
"128","08047","Gilpin County, Colorado","P002001",5441
"129","08069","Larimer County, Colorado","P002001",299630
"130","08051","Gunnison County, Colorado","P002001",15324
"131","08053","Hinsdale County, Colorado","P002001",843
"132","08055","Huerfano County, Colorado","P002001",6711
"133","08057","Jackson County, Colorado","P002001",1394
"134","08059","Jefferson County, Colorado","P002001",534543
"135","08061","Kiowa County, Colorado","P002001",1398
"136","08063","Kit Carson County, Colorado","P002001",8270
"137","08065","Lake County, Colorado","P002001",7310
"138","08071","Las Animas County, Colorado","P002001",15507
