"GEOID","NAME","variable","value"
"01","Alabama","P002001",4779736
"02","Alaska","P002001",710231
"04","Arizona","P002001",6392017
"05","Arkansas","P002001",2915918
"06","California","P002001",37253956
"22","Louisiana","P002001",4533372
"21","Kentucky","P002001",4339367
"08","Colorado","P002001",5029196
"09","Connecticut","P002001",3574097
"10","Delaware","P002001",897934
"11","District of Columbia","P002001",601723
"12","Florida","P002001",18801310
"13","Georgia","P002001",9687653
"15","Hawaii","P002001",1360301
"16","Idaho","P002001",1567582
"17","Illinois","P002001",12830632
"18","Indiana","P002001",6483802
"19","Iowa","P002001",3046355
"20","Kansas","P002001",2853118
"23","Maine","P002001",1328361
"24","Maryland","P002001",5773552
"25","Massachusetts","P002001",6547629
"26","Michigan","P002001",9883640
"27","Minnesota","P002001",5303925
"28","Mississippi","P002001",2967297
"29","Missouri","P002001",5988927
"30","Montana","P002001",989415
"31","Nebraska","P002001",1826341
"32","Nevada","P002001",2700551
"33","New Hampshire","P002001",1316470
"34","New Jersey","P002001",8791894
"35","New Mexico","P002001",2059179
"36","New York","P002001",19378102
"37","North Carolina","P002001",9535483
"38","North Dakota","P002001",672591
"39","Ohio","P002001",11536504
"40","Oklahoma","P002001",3751351
"41","Oregon","P002001",3831074
"42","Pennsylvania","P002001",12702379
"44","Rhode Island","P002001",1052567
"45","South Carolina","P002001",4625364
"46","South Dakota","P002001",814180
"47","Tennessee","P002001",6346105
"48","Texas","P002001",25145561
"49","Utah","P002001",2763885
"50","Vermont","P002001",625741
"51","Virginia","P002001",8001024
"53","Washington","P002001",6724540
"54","West Virginia","P002001",1852994
"55","Wisconsin","P002001",5686986
"56","Wyoming","P002001",563626
"72","Puerto Rico","P002001",3725789
