"countyFIPS","stateFIPS","2000_Food_Average","2000_Food_at_Home_Average","2000_Meat_Poultry_Fish_Eggs_Average","2000_Fruit_Vegetables_Average","2000_Food_Away_from_Home_Average","2010_Food_Average","2010_Food_at_Home_Average","2010_Meat_Poultry_Fish_Eggs_Average","2010_Fruit_Vegetables_Average","2010_Food_Away_from_Home_Average","2000_Bakery_Cereal_Products_Average","2000_Flour_Average","2000_Rice_Average","2000_Pasta_Cornmeal_Other_Cereal_Products_Average","2000_Bread_Average","2000_Beef_Average","2000_Pork_Average","2000_Poultry_Average","2000_Seafood_Average","2000_Eggs_Average","2000_Dairy_Products_Average","2000_Lunch_Away_from_Home_Average","2000_Dinner_Away_from_Home_Average","2000_Breakfast_and_Brunch_Away_from_Home_Average","2000_Alcoholic_Beverages_Average","2010_Bakery_Cereal_Products_Average","2010_Flour_Average","2010_Rice_Average","2010_Pasta_Cornmeal_Other_Cereal_Products_Average","2010_Bread_Average","2010_Beef_Average","2010_Pork_Average","2010_Poultry_Average","2010_Seafood_Average","2010_Eggs_Average","2010_Dairy_Products_Average","2010_Lunch_Away_from_Home_Average","2010_Dinner_Away_from_Home_Average","2010_Breakfast_and_Brunch_Away_from_Home_Average","2010_Alcoholic_Beverages_Average","countyName","stateName","2021_Alcoholic_Beverages_Average","2026_Alcoholic_Beverages_Average","2021_Lunch_Away_from_Home_Average","2021_Dinner_Away_from_Home_Average","2021_Breakfast_and_Brunch_Away_from_Home_Average","2026_Lunch_Away_from_Home_Average","2026_Dinner_Away_from_Home_Average","2026_Breakfast_and_Brunch_Away_from_Home_Average","2021_Bakery_Cereal_Products_Average","2021_Flour_Average","2021_Rice_Average","2021_Pasta_Cornmeal_Other_Cereal_Products_Average","2021_Bread_Average","2026_Bakery_Cereal_Products_Average","2026_Flour_Average","2026_Rice_Average","2026_Pasta_Cornmeal_Other_Cereal_Products_Average","2026_Bread_Average","2021_Dairy_Products_Average","2021_Fruit_Vegetables_Average","2026_Dairy_Products_Average","2026_Fruit_Vegetables_Average","2021_Meat_Poultry_Fish_Eggs_Average","2021_Beef_Average","2021_Pork_Average","2021_Poultry_Average","2021_Seafood_Average","2021_Eggs_Average","2026_Meat_Poultry_Fish_Eggs_Average","2026_Beef_Average","2026_Pork_Average","2026_Poultry_Average","2026_Seafood_Average","2026_Eggs_Average","2021_Annual_Budget_Expenditures_Average","2021_Food_Away_from_Home_Average","2021_Food_Average","2021_Food_at_Home_Average","2026_Food_Away_from_Home_Average","2026_Annual_Budget_Expenditures_Average","2026_Food_Average","2026_Food_at_Home_Average"
"01001",1,6254.25090909091,3686.72454545455,926.389090909091,600.887272727273,2567.52454545455,6034.45909090909,3514.62454545455,814.632727272727,596.895454545455,2519.83727272727,510.08,8.04090909090909,18.1509090909091,26.6909090909091,95.7681818181818,286.284545454545,199.498181818182,158.321818181818,124.394545454545,40.8527272727273,419.685454545455,860.639090909091,1004.36454545455,230.789090909091,410.868181818182,471.325454545455,5.47727272727273,15.8818181818182,24.3672727272727,90.6663636363636,239.826363636364,166.393636363636,143.492727272727,116.677272727273,40.1836363636364,393.415454545455,807.341818181818,1110.43181818182,220.794545454545,415.656363636364,"Autauga ","Alabama",487.46,544.55,989.2,1438.96,307.32,1103.67,1606.36,342.94,578.33,11.59,27.42,41.2,108.64,645.33,12.93,30.59,45.99,121.21,443.77,852.8,495.32,951.78,973.36,269.46,192.43,181.05,142.3,59.48,1086.09,300.7,214.6,202.01,158.85,66.36,64602.89,3098,7600.32,4502.32,3457.85,72116.76,8481.94,5024.1
"01003",1,6701.82347826087,3971.52086956522,996.770434782609,651.10347826087,2730.30304347826,6466.89391304348,3792.66739130435,873.313043478261,649.139130434783,2674.22652173913,550.45347826087,8.94304347826087,18.6134782608696,28.7104347826087,104.652173913043,307.362173913043,215.455217391304,168.313043478261,133.790869565217,44.5139130434783,454.651304347826,909.914782608696,1065.74608695652,247.962173913043,439.489565217391,510.697826086957,5.92217391304348,16.9308695652174,26.2291304347826,98.8130434782609,256.195217391304,178.504782608696,151.827826086957,126.123913043478,43.4860869565217,427.35,851.425217391304,1176.45391304348,239.187826086957,446.15347826087,"Baldwin ","Alabama",550.2,617.47,1089.66,1586.7,341.39,1223.15,1780.9,383.15,649.78,12.9,30.72,46.45,123.11,729.12,14.47,34.48,52.12,138.12,503.58,958.02,565.02,1075.01,1094.26,302.51,218.59,200.53,160.31,66.39,1227.87,339.47,245.25,225.05,179.87,74.5,71883.51,3410.6,8465.55,5054.95,3828.26,80677.03,9500.66,5672.4
"01005",1,4911.29555555556,2949.72222222222,751.074444444444,463.235555555556,1961.57222222222,4747.77333333333,2834.38444444444,659.526666666667,465.186666666667,1913.38888888889,411.191111111111,7.97555555555556,12.6911111111111,21.2822222222222,78.6777777777778,236.674444444444,172.84,123.364444444444,89.8411111111111,34.15,336.981111111111,684.53,731.714444444444,182.525555555556,293.613333333333,383.057777777778,4.86777777777778,11.8133333333333,18.6355555555556,75.6777777777778,197.173333333333,144.053333333333,112.348888888889,84.33,33.4088888888889,322.141111111111,630.502222222222,828.035555555556,171.943333333333,292.196666666667,"Barbour ","Alabama",313.65,352.05,712.06,986.85,218.94,798.62,1106.98,245.54,438.49,9.09,19.71,29.92,84.13,491.62,10.19,22.1,33.56,94.31,324.23,614.69,363.63,689.38,736.71,207.18,159.03,130.83,98.96,43.64,826.02,232.27,178.24,146.72,111.01,48.93,45067.95,2148.48,5507.88,3359.4,2409.96,50552.92,6176.82,3766.87
"01007",1,5125.12333333333,3075.07333333333,782.003333333333,481.42,2050.05,5090.74,3024.69333333333,699.93,497.433333333333,2066.04666666667,429.1,8.40333333333333,12.9666666666667,22.33,81.8366666666667,247.03,180.45,128.013333333333,92.56,35.2933333333333,353.483333333333,711.833333333333,766.446666666667,189.146666666667,304.103333333333,410.226666666667,5.15333333333333,12.5933333333333,19.91,80.5133333333333,208.866666666667,151.643333333333,119.1,90.32,35.0666666666667,344.903333333333,676.43,894.593333333333,184.876666666667,319.023333333333,"Bibb ","Alabama",384.7,428.8,857.91,1185.24,259.19,956.06,1320.86,288.85,506.71,10.54,23.15,34.85,96.63,564.67,11.74,25.8,38.84,107.68,379.98,721.03,423.49,803.57,862.53,240.67,184.57,155,118.43,51.38,961.21,268.19,205.66,172.74,132,57.26,53844.09,2583.92,6502.41,3918.49,2879.6,60007.25,7246.46,4366.86
"01009",1,5602.8625,3356.44375,854.57,522.98375,2246.41625,5550.42875,3282.1525,762.51625,538.6275,2268.275,467.85,9.1175,14.2375,24.38375,88.82625,271.51625,197.86125,139.39,100.60875,38.3825,385.80875,784.59625,840.1,206.23,327.68,444.78,5.6,13.58875,21.45875,87.175,227.815,165.44625,130.735,98.00625,38.06,373.01375,747.2325,985.91375,199.31625,341.89375,"Blount ","Alabama",411.42,460.63,912.92,1267.25,276.02,1022.19,1418.74,309.03,545.02,11.27,23.92,37.49,103.57,610.05,12.62,26.78,41.96,115.92,410.32,771.29,459.26,863.43,926.89,261.68,200.61,163.8,124.68,54.5,1037.52,292.87,224.52,183.4,139.6,61.01,57767.64,2755.48,6965.41,4209.93,3085.07,64670.97,7797.58,4712.51
"01011",1,4133.14,2512.6275,643.58,385.845,1620.5175,3983.5,2416.9625,558.2925,391.575,1566.54,351.2625,7.92,9.555,18.2075,67.9225,205.1,154.42,102.775,71.3875,29.895,289.285,577.515,587.21,152.39,227.2425,328.35,4.3325,9.5275,15.6225,65.5675,169.595,125.7675,92.05,67.0675,28.88,279.28,522.4925,668.93,144.0475,226.1625,"Bullock ","Alabama",287.35,319.18,764.31,1034.04,234.86,848.7,1148.2,260.74,498.43,10.51,20.66,32.16,97.54,553.35,11.67,22.92,35.72,108.28,352.32,662.62,391.33,735.7,825.55,239.2,194.04,138.38,98.42,48.56,916.66,265.63,215.5,153.61,109.24,53.91,47279.81,2258.75,6000.77,3742.01,2508.14,52505.6,6662.98,4154.84
"01013",1,5112.99444444444,3085.95,787.165555555556,484.017777777778,2027.04111111111,4894.31666666667,2943.42111111111,682.345555555556,482.948888888889,1950.89666666667,431.627777777778,8.80333333333333,12.6955555555556,22.2955555555556,83.0077777777778,247.292222222222,183.001111111111,128.532222222222,93.2033333333333,35.9555555555556,353.996666666667,705.961111111111,754.453333333333,189.578888888889,299.361111111111,399.67,5.11222222222222,12.0877777777778,19.3488888888889,79.1788888888889,204.475555555556,150.144444444444,114.567777777778,86.2866666666667,34.78,337.152222222222,641.105555555556,841.237777777778,178.882222222222,295.108888888889,"Butler ","Alabama",343.69,378.85,817.75,1131.22,253.15,901.67,1247.21,279.12,517.4,10.77,22.41,34.7,99.96,570.48,11.88,24.71,38.26,110.22,376.96,710.45,415.62,783.31,867.32,247.17,193.27,150.47,111.37,50.92,956.32,272.53,213.12,165.91,122.78,56.15,51603.26,2458.77,6394.83,3936.06,2710.96,56893.57,7050.83,4339.87
"01015",1,5225.60785714286,3109.40464285714,784.679285714286,504.813928571429,2116.20285714286,5090.10071428571,3008.02035714286,696.444642857143,506.055714285714,2082.07964285714,432.9725,7.33357142857143,14.5128571428571,22.4907142857143,82.6996428571429,242.889285714286,171.408571428571,132.253928571429,102.074285714286,35.2457142857143,355.210714285714,713.1125,814.425,195.510357142857,343.073928571429,405.681428571429,4.88357142857143,13.3407142857143,20.3882142857143,79.3767857142857,204.808214285714,145.899285714286,120.561071428571,96.0471428571429,34.8742857142857,339.640714285714,669.294642857143,908.4875,188.868928571429,346.4125,"Calhoun ","Alabama",407.54,455.36,833.82,1200.57,260.29,931.37,1341.22,290.75,500.36,10.25,23.29,35.56,94.38,558.89,11.44,26.01,39.72,105.41,383.01,725.23,427.86,810.11,847.98,236.13,172.72,154.47,120.81,50.36,947.14,263.76,192.9,172.53,134.95,56.25,54189.62,2585.76,6468.44,3882.68,2888.56,60536.34,7225.42,4336.86
"01017",1,5012.19222222222,3006.09777777778,763.803333333333,472.697777777778,2006.09444444444,4928.53444444444,2942.93777777778,681.51,481.481111111111,1985.59555555556,420.241111111111,7.97555555555556,12.7344444444444,21.6077777777778,80.3844444444444,241.772222222222,174.137777777778,125.058888888889,90.9877777777778,34.3088888888889,344.277777777778,694.642222222222,749.972222222222,186.853333333333,305.091111111111,399.226666666667,5.07555555555556,12.0888888888889,19.2488888888889,78.8022222222222,203.863333333333,149.072222222222,115.078888888889,86.2811111111111,34.2988888888889,335.951111111111,651.425555555556,856.61,179.114444444444,308.754444444444,"Chambers ","Alabama",335.28,370.64,781.87,1080.31,240.32,865.22,1195.26,265.92,490.09,10.28,21.09,33.05,94.16,542.44,11.38,23.34,36.57,104.24,361.2,677.12,399.63,749.23,824.39,234.76,182.94,143.15,106.35,48.22,912.35,259.84,202.55,158.39,117.64,53.37,49499.29,2350.5,6093.17,3742.67,2600.68,54762.66,6742.58,4141.9
"01019",1,5034.544,3037.54,773.048,473.534,1997.002,5027.794,3005.508,693.48,494.304,2022.286,423.502,8.698,12.166,21.948,81.318,246.11,180.952,124.428,89.474,35.312,350.58,700.806,740.696,185.352,288.568,408.154,5.2,12.152,19.58,80.598,208.484,152.118,116.548,87.816,35.224,344.548,668.278,874.302,181.508,302.532,"Cherokee ","Alabama",367.89,405.26,859.93,1166.08,258.76,947.35,1284.59,285.07,534.16,11.29,22.32,36.39,102.57,588.53,12.44,24.59,40.09,113.01,406.27,742.41,447.61,817.96,897.26,258.12,204.51,151.39,111.84,53.05,988.53,284.39,225.32,166.78,123.2,58.45,54491,2557.37,6655.84,4098.47,2817.31,60031.94,7332.83,4515.52
"01021",1,5339.61888888889,3208.55444444444,816.871111111111,498.631111111111,2131.06,5290.44888888889,3143.91,728.603333333333,513.702222222222,2146.54222222222,448.437777777778,8.94,13.1444444444444,23.3133333333333,85.5277777777778,259.633333333333,190.218888888889,132.608888888889,94.6155555555556,36.7822222222222,369.94,743.866666666667,793.121111111111,196.804444444444,310.924444444444,427.488888888889,5.44888888888889,12.8466666666667,20.4344444444444,84.0766666666667,217.872222222222,159.435555555556,123.623333333333,92.16,36.44,359.084444444444,706.625555555556,928.676666666667,191.026666666667,324.13,"Chilton ","Alabama",393.38,440.03,871.98,1208.66,264.52,975.13,1351.76,295.82,520.05,10.88,23.3,35.8,98.78,581.52,12.16,26.07,40.03,110.45,391.33,739.99,437.67,827.62,883.4,247.75,189,158.04,120.09,52.32,987.82,277.01,211.29,176.75,134.32,58.52,54996.86,2631.96,6653.11,4021.15,2943.54,61504.65,7440.27,4496.74
"01023",1,4750,2886.28,739.2825,441.7925,1863.7225,4628.55,2806.685,648.64,453.7475,1821.865,403.7025,9.1175,10.935,20.9725,78,236.24,177.575,117.8225,81.5075,34.3625,332.4375,665.58,673.0575,175.3275,260.5175,381.3625,5.0525,11.0575,18.105,76.215,197.235,146.3375,106.9725,77.4625,33.6075,324.355,609.0025,777.02,167.0225,260.6975,"Choctaw ","Alabama",304.65,339.49,786.27,1064.89,240.08,876.37,1186.9,267.57,506.71,10.73,20.86,33.2,98.79,564.78,11.96,23.24,37.01,110.11,366.61,679.83,408.64,757.69,845.34,244.92,198.49,141.32,100.77,49.66,942.24,273.02,221.29,157.49,112.29,55.35,48953.91,2327.44,6157.43,3829.99,2594.08,54563.17,6863,4268.92
