County (Salesgenie Businesses 2017),countyFIPS5 (salesgenie businesses 2017),State (Salesgenie Businesses 2017),stateFIPS (salesgenie businesses 2017),4451,4452,72251,Grocery Stores,Restaurants
State of Iowa,19,Iowa,19,3158,854,7672,2006,3836
State of Illinois,17,Illinois,17,7800,3479,26837,5639.5,13418.5
Aleutians East,02013,Alaska,02,5,2,2,3.5,1
Aleutians West,02016,Alaska,02,9,5,5,7,2.5
Anchorage,02020,Alaska,02,160,147,147,153.5,73.5
Bethel,02050,Alaska,02,23,2,2,12.5,1
Bristol Bay,02060,Alaska,02,1,3,3,2,1.5
Denali,02068,Alaska,02,5,0,0,2.5,0
Dillingham,02070,Alaska,02,9,1,1,5,0.5
Fairbanks North Star,02090,Alaska,02,55,46,46,50.5,23
Haines,02100,Alaska,02,3,2,2,2.5,1
Hoonah-Angoon,02105,Alaska,02,4,0,0,2,0
Juneau,02110,Alaska,02,20,29,29,24.5,14.5
Kenai Peninsula,02122,Alaska,02,60,49,49,54.5,24.5
Ketchikan Gateway,02130,Alaska,02,14,21,21,17.5,10.5
Kodiak Island,02150,Alaska,02,15,14,14,14.5,7
Lake and Peninsula,02164,Alaska,02,6,2,2,4,1
Matanuska-Susitna,02170,Alaska,02,55,33,33,44,16.5
Nome,02180,Alaska,02,11,5,5,8,2.5
North Slope,02185,Alaska,02,11,3,3,7,1.5
Northwest Arctic,02188,Alaska,02,8,0,0,4,0
Petersburg,02195,Alaska,02,6,4,4,5,2
Prince of Wales-Hyder,02198,Alaska,02,9,1,1,5,0.5
Sitka,02220,Alaska,02,9,12,12,10.5,6
Skagway,02230,Alaska,02,2,5,5,3.5,2.5
Southeast Fairbanks,02240,Alaska,02,11,3,3,7,1.5
Valdez-Cordova,02261,Alaska,02,17,9,9,13,4.5
Wade Hampton/Kusilvak,02270,Alaska,02,20,0,0,10,0
Wrangell,02275,Alaska,02,4,1,1,2.5,0.5
Yakutat,02282,Alaska,02,1,2,2,1.5,1
Yukon-Koyukuk,02290,Alaska,02,10,0,0,5,0
State of Alaska,02,Alaska,02,563,401,401,482,200.5
Autauga,01001,Alabama,01,55,16,116,35.5,58
Baldwin,01003,Alabama,01,227,99,631,163,315.5
Barbour,01005,Alabama,01,41,11,52,26,26
Bibb,01007,Alabama,01,22,4,20,13,10
Blount,01009,Alabama,01,54,10,66,32,33
Bullock,01011,Alabama,01,10,5,12,7.5,6
Butler,01013,Alabama,01,30,3,29,16.5,14.5
Calhoun,01015,Alabama,01,142,23,217,82.5,108.5
Chambers,01017,Alabama,01,41,9,66,25,33
Cherokee,01019,Alabama,01,32,6,37,19,18.5
Chilton,01021,Alabama,01,65,15,74,40,37
Choctaw,01023,Alabama,01,25,3,20,14,10
Clarke,01025,Alabama,01,40,11,72,25.5,36
Clay,01027,Alabama,01,17,3,19,10,9.5
Cleburne,01029,Alabama,01,26,3,13,14.5,6.5
Coffee,01031,Alabama,01,42,10,101,26,50.5
Colbert,01033,Alabama,01,61,12,112,36.5,56
Conecuh,01035,Alabama,01,22,7,27,14.5,13.5
Coosa,01037,Alabama,01,16,2,6,9,3
Covington,01039,Alabama,01,56,15,63,35.5,31.5
Crenshaw,01041,Alabama,01,27,6,16,16.5,8
Cullman,01043,Alabama,01,123,22,158,72.5,79
Dale,01045,Alabama,01,49,8,93,28.5,46.5
Dallas,01047,Alabama,01,63,9,70,36,35
DeKalb,01049,Alabama,01,88,9,104,48.5,52
Elmore,01051,Alabama,01,89,8,103,48.5,51.5
Escambia,01053,Alabama,01,58,9,72,33.5,36
Etowah,01055,Alabama,01,129,25,214,77,107
Fayette,01057,Alabama,01,23,4,23,13.5,11.5
Franklin,01059,Alabama,01,33,5,47,19,23.5
Geneva,01061,Alabama,01,35,7,34,21,17
Greene,01063,Alabama,01,19,5,14,12,7
Hale,01065,Alabama,01,21,5,15,13,7.5
Henry,01067,Alabama,01,18,7,31,12.5,15.5
Houston,01069,Alabama,01,143,40,286,91.5,143
Jackson,01071,Alabama,01,61,9,90,35,45
Jefferson,01073,Alabama,01,757,195,1567,476,783.5
