"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","DUCKS","DUCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","106","74.6"
"CENSUS","2017","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","DUCKS","DUCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","23,330","18.7"
"CENSUS","2017","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","DUCKS","DUCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","16","11.3"
"CENSUS","2017","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","DUCKS","DUCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","336","8.1"
"CENSUS","2017","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","DUCKS","DUCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","51","41.6"
"CENSUS","2017","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","DUCKS","DUCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,005","64.3"
"CENSUS","2017","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","DUCKS","DUCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","122","41.7"
"CENSUS","2017","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","DUCKS","DUCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","2,060","38.9"
"CENSUS","2017","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DUCKS","DUCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","178","(H)"
"CENSUS","2017","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DUCKS","DUCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","3,455,831","5.7"
"CENSUS","2017","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","DUCKS","DUCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","213","64.6"
"CENSUS","2017","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","DUCKS","DUCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","6,760","(H)"
"CENSUS","2017","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","DUCKS","DUCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","46","75.4"
"CENSUS","2017","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","DUCKS","DUCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","732","83.6"
"CENSUS","2017","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","DUCKS","DUCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","4","(H)"
"CENSUS","2017","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","DUCKS","DUCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","81","(H)"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","DUCKS","DUCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","254","46.7"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","DUCKS","DUCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","9,295","13.8"
"CENSUS","2017","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","DUCKS","DUCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","84","(H)"
"CENSUS","2017","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","DUCKS","DUCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","23,476","7.2"
"CENSUS","2017","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","DUCKS","DUCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","37","(H)"
"CENSUS","2017","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","DUCKS","DUCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","649","(H)"
"CENSUS","2017","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","DUCKS","DUCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","70","(H)"
"CENSUS","2017","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","DUCKS","DUCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","DUCKS","DUCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","127","39.4"
"CENSUS","2017","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","DUCKS","DUCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","20,316","7.2"
"CENSUS","2017","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","DUCKS","DUCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","287","70.4"
"CENSUS","2017","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","DUCKS","DUCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","14,578,089","(H)"
"CENSUS","2017","YEAR","","STATE","IOWA","19","","","","","","","00000000","","DUCKS","DUCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","190","25.4"
"CENSUS","2017","YEAR","","STATE","IOWA","19","","","","","","","00000000","","DUCKS","DUCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","5,453","41.9"
"CENSUS","2017","YEAR","","STATE","KANSAS","20","","","","","","","00000000","","DUCKS","DUCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","111","(H)"
"CENSUS","2017","YEAR","","STATE","KANSAS","20","","","","","","","00000000","","DUCKS","DUCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","2,010","28.1"
"CENSUS","2017","YEAR","","STATE","KENTUCKY","21","","","","","","","00000000","","DUCKS","DUCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","231","31.2"
"CENSUS","2017","YEAR","","STATE","KENTUCKY","21","","","","","","","00000000","","DUCKS","DUCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","29,415","4.3"
"CENSUS","2017","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","DUCKS","DUCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","98","(H)"
"CENSUS","2017","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","DUCKS","DUCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,235","(H)"
"CENSUS","2017","YEAR","","STATE","MAINE","23","","","","","","","00000000","","DUCKS","DUCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","102","(H)"
"CENSUS","2017","YEAR","","STATE","MAINE","23","","","","","","","00000000","","DUCKS","DUCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","18,246","11.8"
"CENSUS","2017","YEAR","","STATE","MARYLAND","24","","","","","","","00000000","","DUCKS","DUCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","78","39.7"
"CENSUS","2017","YEAR","","STATE","MARYLAND","24","","","","","","","00000000","","DUCKS","DUCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","MASSACHUSETTS","25","","","","","","","00000000","","DUCKS","DUCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","54","26.6"
"CENSUS","2017","YEAR","","STATE","MASSACHUSETTS","25","","","","","","","00000000","","DUCKS","DUCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,374","17.3"
"CENSUS","2017","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","DUCKS","DUCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","346","27.0"
