"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","OSTRICHES","OSTRICHES - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","1","4.4"
"CENSUS","2017","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","OSTRICHES","OSTRICHES - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","OSTRICHES","OSTRICHES - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","4","72.3"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","OSTRICHES","OSTRICHES - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","22","74.1"
"CENSUS","2017","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","OSTRICHES","OSTRICHES - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","6","53.3"
"CENSUS","2017","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","OSTRICHES","OSTRICHES - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","OSTRICHES","OSTRICHES - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","2","(H)"
"CENSUS","2017","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","OSTRICHES","OSTRICHES - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","IOWA","19","","","","","","","00000000","","OSTRICHES","OSTRICHES - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","3","81.8"
"CENSUS","2017","YEAR","","STATE","IOWA","19","","","","","","","00000000","","OSTRICHES","OSTRICHES - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","71","86.4"
"CENSUS","2017","YEAR","","STATE","KANSAS","20","","","","","","","00000000","","OSTRICHES","OSTRICHES - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","2","(H)"
"CENSUS","2017","YEAR","","STATE","KANSAS","20","","","","","","","00000000","","OSTRICHES","OSTRICHES - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","OSTRICHES","OSTRICHES - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","1","4.4"
"CENSUS","2017","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","OSTRICHES","OSTRICHES - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","OSTRICHES","OSTRICHES - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","2","(H)"
"CENSUS","2017","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","OSTRICHES","OSTRICHES - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","OSTRICHES","OSTRICHES - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","4","(H)"
"CENSUS","2017","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","OSTRICHES","OSTRICHES - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","32","(H)"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","OSTRICHES","OSTRICHES - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","3","4.8"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","OSTRICHES","OSTRICHES - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","67","4.1"
"CENSUS","2017","YEAR","","STATE","OKLAHOMA","40","","","","","","","00000000","","OSTRICHES","OSTRICHES - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","2","(H)"
"CENSUS","2017","YEAR","","STATE","OKLAHOMA","40","","","","","","","00000000","","OSTRICHES","OSTRICHES - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","OSTRICHES","OSTRICHES - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","1","2.6"
