"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","28","49.7"
"CENSUS","2017","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","589","(H)"
"CENSUS","2017","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","4","(L)"
"CENSUS","2017","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","17","(L)"
"CENSUS","2017","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","11","(H)"
"CENSUS","2017","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","83","(H)"
"CENSUS","2017","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","15","72.7"
"CENSUS","2017","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","107","91.3"
"CENSUS","2017","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","24","70.2"
"CENSUS","2017","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","162","23.3"
"CENSUS","2017","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","29","64.3"
"CENSUS","2017","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","114","79.6"
"CENSUS","2017","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","23","66.4"
"CENSUS","2017","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","82","69.5"
"CENSUS","2017","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","5","(H)"
"CENSUS","2017","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","81","(H)"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","56","(H)"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,405","80.9"
"CENSUS","2017","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","30","32.5"
"CENSUS","2017","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","230","27.3"
"CENSUS","2017","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","1","7.3"
"CENSUS","2017","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","11","(H)"
"CENSUS","2017","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","73","(H)"
"CENSUS","2017","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","20","17.3"
"CENSUS","2017","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","197","26.8"
"CENSUS","2017","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","24","34.3"
"CENSUS","2017","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","2,883","96.4"
"CENSUS","2017","YEAR","","STATE","IOWA","19","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","48","55.3"
"CENSUS","2017","YEAR","","STATE","IOWA","19","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,776","99.4"
"CENSUS","2017","YEAR","","STATE","KANSAS","20","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","20","(H)"
"CENSUS","2017","YEAR","","STATE","KANSAS","20","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","87","73.0"
"CENSUS","2017","YEAR","","STATE","KENTUCKY","21","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","29","(H)"
"CENSUS","2017","YEAR","","STATE","KENTUCKY","21","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","373","(H)"
"CENSUS","2017","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","7","(H)"
"CENSUS","2017","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","MAINE","23","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","3","(H)"
"CENSUS","2017","YEAR","","STATE","MAINE","23","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","6","(H)"
"CENSUS","2017","YEAR","","STATE","MARYLAND","24","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","4","61.9"
"CENSUS","2017","YEAR","","STATE","MARYLAND","24","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","9","55.3"
"CENSUS","2017","YEAR","","STATE","MASSACHUSETTS","25","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","12","45.1"
"CENSUS","2017","YEAR","","STATE","MASSACHUSETTS","25","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","118","13.6"
"CENSUS","2017","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","46","37.7"
"CENSUS","2017","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","495","23.0"
"CENSUS","2017","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","34","29.1"
"CENSUS","2017","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","183","30.3"
"CENSUS","2017","YEAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","19","68.3"
"CENSUS","2017","YEAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","329","64.5"
"CENSUS","2017","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","64","70.6"
"CENSUS","2017","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","266","43.5"
"CENSUS","2017","YEAR","","STATE","MONTANA","30","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","2","4.5"
"CENSUS","2017","YEAR","","STATE","MONTANA","30","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","18","54.4"
"CENSUS","2017","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","115","77.9"
"CENSUS","2017","YEAR","","STATE","NEW HAMPSHIRE","33","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","9","(H)"
"CENSUS","2017","YEAR","","STATE","NEW HAMPSHIRE","33","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","19","95.7"
"CENSUS","2017","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","16","50.6"
"CENSUS","2017","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","70","82.7"
"CENSUS","2017","YEAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","9","(H)"
"CENSUS","2017","YEAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","16","(H)"
"CENSUS","2017","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","23","48.7"
"CENSUS","2017","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","30","57.2"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","402","18.6"
"CENSUS","2017","YEAR","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","6","47.3"
"CENSUS","2017","YEAR","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","24","23.7"
"CENSUS","2017","YEAR","","STATE","OHIO","39","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","42","72.1"
"CENSUS","2017","YEAR","","STATE","OHIO","39","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","521","88.5"
"CENSUS","2017","YEAR","","STATE","OKLAHOMA","40","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","61","63.3"
"CENSUS","2017","YEAR","","STATE","OKLAHOMA","40","","","","","","","00000000","","PEAFOWL","PEAFOWL, HENS & COCKS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","367","66.7"
