"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","PIGEONS & SQUAB","PIGEONS & SQUAB - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","22","(H)"
"CENSUS","2017","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","PIGEONS & SQUAB","PIGEONS & SQUAB - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","525","(H)"
"CENSUS","2017","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","PIGEONS & SQUAB","PIGEONS & SQUAB - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","1","(L)"
"CENSUS","2017","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","PIGEONS & SQUAB","PIGEONS & SQUAB - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","PIGEONS & SQUAB","PIGEONS & SQUAB - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","5","75.8"
"CENSUS","2017","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","PIGEONS & SQUAB","PIGEONS & SQUAB - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","189","(H)"
"CENSUS","2017","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","PIGEONS & SQUAB","PIGEONS & SQUAB - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","2","86.7"
"CENSUS","2017","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","PIGEONS & SQUAB","PIGEONS & SQUAB - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PIGEONS & SQUAB","PIGEONS & SQUAB - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","61","23.2"
"CENSUS","2017","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PIGEONS & SQUAB","PIGEONS & SQUAB - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","380,638","28.9"
"CENSUS","2017","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","PIGEONS & SQUAB","PIGEONS & SQUAB - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","28","(H)"
"CENSUS","2017","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","PIGEONS & SQUAB","PIGEONS & SQUAB - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","730","(H)"
"CENSUS","2017","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","PIGEONS & SQUAB","PIGEONS & SQUAB - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","1","14.7"
"CENSUS","2017","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","PIGEONS & SQUAB","PIGEONS & SQUAB - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","PIGEONS & SQUAB","PIGEONS & SQUAB - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","1","28.1"
"CENSUS","2017","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","PIGEONS & SQUAB","PIGEONS & SQUAB - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
