"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","1","7.5"
"CENSUS","2017","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","RHEAS","RHEAS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","4","(H)"
"CENSUS","2017","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","RHEAS","RHEAS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","20","(H)"
"CENSUS","2017","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","3","9.1"
"CENSUS","2017","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","RHEAS","RHEAS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","1","4.5"
"CENSUS","2017","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","RHEAS","RHEAS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","IOWA","19","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","2","(H)"
"CENSUS","2017","YEAR","","STATE","IOWA","19","","","","","","","00000000","","RHEAS","RHEAS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","OHIO","39","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","2","6.1"
"CENSUS","2017","YEAR","","STATE","OHIO","39","","","","","","","00000000","","RHEAS","RHEAS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","1","2.6"
"CENSUS","2017","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","RHEAS","RHEAS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","2","5.6"
"CENSUS","2017","YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","RHEAS","RHEAS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","1","3.8"
"CENSUS","2017","YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","RHEAS","RHEAS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","WEST VIRGINIA","54","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","1","5.5"
"CENSUS","2017","YEAR","","STATE","WEST VIRGINIA","54","","","","","","","00000000","","RHEAS","RHEAS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","2","3.8"
"CENSUS","2017","YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","RHEAS","RHEAS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","END OF DEC","","STATE","ALABAMA","01","","","","","","","00000000","","RHEAS","RHEAS - INVENTORY","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","END OF DEC","","STATE","ALABAMA","01","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","2","(H)"
"CENSUS","2017","END OF DEC","","STATE","ARIZONA","04","","","","","","","00000000","","RHEAS","RHEAS - INVENTORY","TOTAL","NOT SPECIFIED","10","79.6"
"CENSUS","2017","END OF DEC","","STATE","ARIZONA","04","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","3","(H)"
"CENSUS","2017","END OF DEC","","STATE","COLORADO","08","","","","","","","00000000","","RHEAS","RHEAS - INVENTORY","TOTAL","NOT SPECIFIED","15","97.4"
"CENSUS","2017","END OF DEC","","STATE","COLORADO","08","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","5","(H)"
"CENSUS","2017","END OF DEC","","STATE","CONNECTICUT","09","","","","","","","00000000","","RHEAS","RHEAS - INVENTORY","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","END OF DEC","","STATE","CONNECTICUT","09","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","1","7.5"
"CENSUS","2017","END OF DEC","","STATE","FLORIDA","12","","","","","","","00000000","","RHEAS","RHEAS - INVENTORY","TOTAL","NOT SPECIFIED","34","99.6"
"CENSUS","2017","END OF DEC","","STATE","FLORIDA","12","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","4","87.2"
"CENSUS","2017","END OF DEC","","STATE","GEORGIA","13","","","","","","","00000000","","RHEAS","RHEAS - INVENTORY","TOTAL","NOT SPECIFIED","28","(H)"
"CENSUS","2017","END OF DEC","","STATE","GEORGIA","13","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","6","88.6"
"CENSUS","2017","END OF DEC","","STATE","ILLINOIS","17","","","","","","","00000000","","RHEAS","RHEAS - INVENTORY","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","END OF DEC","","STATE","ILLINOIS","17","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","5","44.5"
"CENSUS","2017","END OF DEC","","STATE","INDIANA","18","","","","","","","00000000","","RHEAS","RHEAS - INVENTORY","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","END OF DEC","","STATE","INDIANA","18","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","1","4.5"
"CENSUS","2017","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","RHEAS","RHEAS - INVENTORY","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","2","(H)"
"CENSUS","2017","END OF DEC","","STATE","KANSAS","20","","","","","","","00000000","","RHEAS","RHEAS - INVENTORY","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","END OF DEC","","STATE","KANSAS","20","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","2","(H)"
"CENSUS","2017","END OF DEC","","STATE","KENTUCKY","21","","","","","","","00000000","","RHEAS","RHEAS - INVENTORY","TOTAL","NOT SPECIFIED","4","(H)"
"CENSUS","2017","END OF DEC","","STATE","KENTUCKY","21","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","4","(H)"
"CENSUS","2017","END OF DEC","","STATE","MAINE","23","","","","","","","00000000","","RHEAS","RHEAS - INVENTORY","TOTAL","NOT SPECIFIED","9","(H)"
"CENSUS","2017","END OF DEC","","STATE","MAINE","23","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","3","(H)"
"CENSUS","2017","END OF DEC","","STATE","MINNESOTA","27","","","","","","","00000000","","RHEAS","RHEAS - INVENTORY","TOTAL","NOT SPECIFIED","20","(H)"
"CENSUS","2017","END OF DEC","","STATE","MINNESOTA","27","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","4","(H)"
"CENSUS","2017","END OF DEC","","STATE","MISSOURI","29","","","","","","","00000000","","RHEAS","RHEAS - INVENTORY","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","END OF DEC","","STATE","MISSOURI","29","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","1","5.0"
"CENSUS","2017","END OF DEC","","STATE","NEW JERSEY","34","","","","","","","00000000","","RHEAS","RHEAS - INVENTORY","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","END OF DEC","","STATE","NEW JERSEY","34","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","2","(H)"
"CENSUS","2017","END OF DEC","","STATE","NEW MEXICO","35","","","","","","","00000000","","RHEAS","RHEAS - INVENTORY","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","END OF DEC","","STATE","NEW MEXICO","35","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","1","5.7"
"CENSUS","2017","END OF DEC","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","RHEAS","RHEAS - INVENTORY","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","END OF DEC","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","1","1.4"
"CENSUS","2017","END OF DEC","","STATE","OHIO","39","","","","","","","00000000","","RHEAS","RHEAS - INVENTORY","TOTAL","NOT SPECIFIED","24","54.1"
"CENSUS","2017","END OF DEC","","STATE","OHIO","39","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","5","86.4"
"CENSUS","2017","END OF DEC","","STATE","OKLAHOMA","40","","","","","","","00000000","","RHEAS","RHEAS - INVENTORY","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","END OF DEC","","STATE","OKLAHOMA","40","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","1","2.7"
"CENSUS","2017","END OF DEC","","STATE","OREGON","41","","","","","","","00000000","","RHEAS","RHEAS - INVENTORY","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","END OF DEC","","STATE","OREGON","41","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","2","63.8"
"CENSUS","2017","END OF DEC","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","RHEAS","RHEAS - INVENTORY","TOTAL","NOT SPECIFIED","53","(H)"
"CENSUS","2017","END OF DEC","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","14","91.1"
"CENSUS","2017","END OF DEC","","STATE","TENNESSEE","47","","","","","","","00000000","","RHEAS","RHEAS - INVENTORY","TOTAL","NOT SPECIFIED","20","53.5"
"CENSUS","2017","END OF DEC","","STATE","TENNESSEE","47","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","4","90.7"
"CENSUS","2017","END OF DEC","","STATE","TEXAS","48","","","","","","","00000000","","RHEAS","RHEAS - INVENTORY","TOTAL","NOT SPECIFIED","174","67.7"
"CENSUS","2017","END OF DEC","","STATE","TEXAS","48","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","22","88.9"
"CENSUS","2017","END OF DEC","","STATE","UTAH","49","","","","","","","00000000","","RHEAS","RHEAS - INVENTORY","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","END OF DEC","","STATE","UTAH","49","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","1","9.4"
"CENSUS","2017","END OF DEC","","STATE","VIRGINIA","51","","","","","","","00000000","","RHEAS","RHEAS - INVENTORY","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","END OF DEC","","STATE","VIRGINIA","51","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","1","3.8"
"CENSUS","2017","END OF DEC","","STATE","WEST VIRGINIA","54","","","","","","","00000000","","RHEAS","RHEAS - INVENTORY","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","END OF DEC","","STATE","WEST VIRGINIA","54","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","1","5.5"
"CENSUS","2017","END OF DEC","","STATE","WISCONSIN","55","","","","","","","00000000","","RHEAS","RHEAS - INVENTORY","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","END OF DEC","","STATE","WISCONSIN","55","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","2","3.8"
"CENSUS","2012","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","5","41.9"
"CENSUS","2012","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RHEAS","RHEAS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","22","43.1"
"CENSUS","2012","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","2","67.1"
"CENSUS","2012","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","RHEAS","RHEAS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","1","44.5"
"CENSUS","2012","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","RHEAS","RHEAS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","1","3.6"
"CENSUS","2012","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","RHEAS","RHEAS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","1","12.0"
"CENSUS","2012","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","RHEAS","RHEAS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","STATE","IOWA","19","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","1","(H)"
"CENSUS","2012","YEAR","","STATE","IOWA","19","","","","","","","00000000","","RHEAS","RHEAS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","STATE","KANSAS","20","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","2","(H)"
"CENSUS","2012","YEAR","","STATE","KANSAS","20","","","","","","","00000000","","RHEAS","RHEAS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","3","77.5"
"CENSUS","2012","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RHEAS","RHEAS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","77","93.7"
"CENSUS","2012","YEAR","","STATE","MASSACHUSETTS","25","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","3","54.8"
"CENSUS","2012","YEAR","","STATE","MASSACHUSETTS","25","","","","","","","00000000","","RHEAS","RHEAS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","150","54.8"
"CENSUS","2012","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","1","5.6"
"CENSUS","2012","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","RHEAS","RHEAS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","4","47.4"
"CENSUS","2012","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","RHEAS","RHEAS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","32","42.8"
"CENSUS","2012","YEAR","","STATE","OHIO","39","","","","","","","00000000","","RHEAS","RHEAS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","3","83.7"
"CENSUS","2012","YEAR","","STATE","OHIO","39","","","","","","","00000000","","RHEAS","RHEAS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","22","(H)"
