state_alpha,statisticcat_desc,domaincat_desc,watershed_desc,domain_desc,state_fips_code,sector_desc,county_ansi,county_code,prodn_practice_desc,county_name,country_code,week_ending,source_desc,freq_desc,util_practice_desc,year,unit_desc,Value,region_desc,short_desc,begin_code,zip_5,commodity_desc,asd_code,agg_level_desc,class_desc,reference_period_desc,CV (%),congr_district_code,location_desc,watershed_code,state_ansi,country_name,state_name,end_code,group_desc,asd_desc,load_time
AL,PRODUCTION,NOT SPECIFIED,,TOTAL,01,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2017,LB,381085,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,19.3,,ALABAMA,00000000,01,UNITED STATES,ALABAMA,00,SPECIALTY,,2018-02-01 00:00:00
AL,PRODUCTION,NOT SPECIFIED,,TOTAL,01,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2012,LB,413054,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,12.4,,ALABAMA,00000000,01,UNITED STATES,ALABAMA,00,SPECIALTY,,2012-12-31 00:00:00
AL,PRODUCTION,NOT SPECIFIED,,TOTAL,01,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2007,LB,686272,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,,,ALABAMA,00000000,01,UNITED STATES,ALABAMA,00,SPECIALTY,,2012-01-01 00:00:00
AL,PRODUCTION,NOT SPECIFIED,,TOTAL,01,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2002,LB,1317942,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,,,ALABAMA,00000000,01,UNITED STATES,ALABAMA,00,SPECIALTY,,2012-01-01 00:00:00
AL,PRODUCTION,NOT SPECIFIED,,TOTAL,01,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,1997,LB,1075826,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,,,ALABAMA,00000000,01,UNITED STATES,ALABAMA,00,SPECIALTY,,2012-01-01 00:00:00
AK,PRODUCTION,NOT SPECIFIED,,TOTAL,02,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2017,LB,31070,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,6.2,,ALASKA,00000000,02,UNITED STATES,ALASKA,00,SPECIALTY,,2018-02-01 00:00:00
AK,PRODUCTION,NOT SPECIFIED,,TOTAL,02,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2012,LB,32623,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,1.6,,ALASKA,00000000,02,UNITED STATES,ALASKA,00,SPECIALTY,,2012-12-31 00:00:00
AK,PRODUCTION,NOT SPECIFIED,,TOTAL,02,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2007,LB,12968,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,,,ALASKA,00000000,02,UNITED STATES,ALASKA,00,SPECIALTY,,2012-01-01 00:00:00
AK,PRODUCTION,NOT SPECIFIED,,TOTAL,02,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2002,LB,4667,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,,,ALASKA,00000000,02,UNITED STATES,ALASKA,00,SPECIALTY,,2012-01-01 00:00:00
AK,PRODUCTION,NOT SPECIFIED,,TOTAL,02,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,1997,LB,4910,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,,,ALASKA,00000000,02,UNITED STATES,ALASKA,00,SPECIALTY,,2012-01-01 00:00:00
AZ,PRODUCTION,NOT SPECIFIED,,TOTAL,04,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2017,LB,1191576,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,13.7,,ARIZONA,00000000,04,UNITED STATES,ARIZONA,00,SPECIALTY,,2018-02-01 00:00:00
AZ,PRODUCTION,NOT SPECIFIED,,TOTAL,04,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2012,LB,1819300,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,67.7,,ARIZONA,00000000,04,UNITED STATES,ARIZONA,00,SPECIALTY,,2012-12-31 00:00:00
AZ,PRODUCTION,NOT SPECIFIED,,TOTAL,04,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2007,LB,1802329,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,,,ARIZONA,00000000,04,UNITED STATES,ARIZONA,00,SPECIALTY,,2012-01-01 00:00:00
AZ,PRODUCTION,NOT SPECIFIED,,TOTAL,04,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2002,LB,1337155,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,,,ARIZONA,00000000,04,UNITED STATES,ARIZONA,00,SPECIALTY,,2012-01-01 00:00:00
AZ,PRODUCTION,NOT SPECIFIED,,TOTAL,04,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,1997,LB,2824514,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,,,ARIZONA,00000000,04,UNITED STATES,ARIZONA,00,SPECIALTY,,2012-01-01 00:00:00
AR,PRODUCTION,NOT SPECIFIED,,TOTAL,05,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2017,LB,2108889,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,5.3,,ARKANSAS,00000000,05,UNITED STATES,ARKANSAS,00,SPECIALTY,,2018-02-01 00:00:00
AR,PRODUCTION,NOT SPECIFIED,,TOTAL,05,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2012,LB,1488986,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,3.1,,ARKANSAS,00000000,05,UNITED STATES,ARKANSAS,00,SPECIALTY,,2012-12-31 00:00:00
AR,PRODUCTION,NOT SPECIFIED,,TOTAL,05,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2007,LB,2381301,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,,,ARKANSAS,00000000,05,UNITED STATES,ARKANSAS,00,SPECIALTY,,2012-01-01 00:00:00
AR,PRODUCTION,NOT SPECIFIED,,TOTAL,05,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2002,LB,3068543,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,,,ARKANSAS,00000000,05,UNITED STATES,ARKANSAS,00,SPECIALTY,,2012-01-01 00:00:00
AR,PRODUCTION,NOT SPECIFIED,,TOTAL,05,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,1997,LB,1877337,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,,,ARKANSAS,00000000,05,UNITED STATES,ARKANSAS,00,SPECIALTY,,2012-01-01 00:00:00
CA,PRODUCTION,NOT SPECIFIED,,TOTAL,06,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2017,LB,15149061,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,15.2,,CALIFORNIA,00000000,06,UNITED STATES,CALIFORNIA,00,SPECIALTY,,2018-02-01 00:00:00
CA,PRODUCTION,NOT SPECIFIED,,TOTAL,06,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2012,LB,12088653,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,12.1,,CALIFORNIA,00000000,06,UNITED STATES,CALIFORNIA,00,SPECIALTY,,2012-12-31 00:00:00
CA,PRODUCTION,NOT SPECIFIED,,TOTAL,06,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2007,LB,15059214,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,,,CALIFORNIA,00000000,06,UNITED STATES,CALIFORNIA,00,SPECIALTY,,2012-01-01 00:00:00
CA,PRODUCTION,NOT SPECIFIED,,TOTAL,06,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2002,LB,16303281,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,,,CALIFORNIA,00000000,06,UNITED STATES,CALIFORNIA,00,SPECIALTY,,2012-01-01 00:00:00
CA,PRODUCTION,NOT SPECIFIED,,TOTAL,06,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,1997,LB,29461509,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,,,CALIFORNIA,00000000,06,UNITED STATES,CALIFORNIA,00,SPECIALTY,,2012-01-01 00:00:00
CO,PRODUCTION,NOT SPECIFIED,,TOTAL,08,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2017,LB,1439913,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,6.8,,COLORADO,00000000,08,UNITED STATES,COLORADO,00,SPECIALTY,,2018-02-01 00:00:00
CO,PRODUCTION,NOT SPECIFIED,,TOTAL,08,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2012,LB,1271243,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,33.6,,COLORADO,00000000,08,UNITED STATES,COLORADO,00,SPECIALTY,,2012-12-31 00:00:00
CO,PRODUCTION,NOT SPECIFIED,,TOTAL,08,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2007,LB,1538894,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,,,COLORADO,00000000,08,UNITED STATES,COLORADO,00,SPECIALTY,,2012-01-01 00:00:00
CO,PRODUCTION,NOT SPECIFIED,,TOTAL,08,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2002,LB,1595298,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,,,COLORADO,00000000,08,UNITED STATES,COLORADO,00,SPECIALTY,,2012-01-01 00:00:00
CO,PRODUCTION,NOT SPECIFIED,,TOTAL,08,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,1997,LB,1652508,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,,,COLORADO,00000000,08,UNITED STATES,COLORADO,00,SPECIALTY,,2012-01-01 00:00:00
CT,PRODUCTION,NOT SPECIFIED,,TOTAL,09,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2017,LB,199631,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,21.2,,CONNECTICUT,00000000,09,UNITED STATES,CONNECTICUT,00,SPECIALTY,,2018-02-01 00:00:00
CT,PRODUCTION,NOT SPECIFIED,,TOTAL,09,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2012,LB,155991,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,35.6,,CONNECTICUT,00000000,09,UNITED STATES,CONNECTICUT,00,SPECIALTY,,2012-12-31 00:00:00
CT,PRODUCTION,NOT SPECIFIED,,TOTAL,09,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2007,LB,143092,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,,,CONNECTICUT,00000000,09,UNITED STATES,CONNECTICUT,00,SPECIALTY,,2012-01-01 00:00:00
CT,PRODUCTION,NOT SPECIFIED,,TOTAL,09,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,2002,LB,131982,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,,,CONNECTICUT,00000000,09,UNITED STATES,CONNECTICUT,00,SPECIALTY,,2012-01-01 00:00:00
CT,PRODUCTION,NOT SPECIFIED,,TOTAL,09,ANIMALS & PRODUCTS,,,ALL PRODUCTION PRACTICES,,9000,,CENSUS,ANNUAL,ALL UTILIZATION PRACTICES,1997,LB,57540,,"HONEY - PRODUCTION, MEASURED IN LB",00,,HONEY,,STATE,ALL CLASSES,YEAR,,,CONNECTICUT,00000000,09,UNITED STATES,CONNECTICUT,00,SPECIALTY,,2012-01-01 00:00:00
