"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2021","END OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONE-IN, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","38,128,000",""
"SURVEY","2021","END OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONELESS, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","481,226,000",""
"SURVEY","2021","END OF FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONE-IN, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","36,707,000",""
"SURVEY","2021","END OF FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONELESS, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","475,821,000",""
"SURVEY","2021","END OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONE-IN, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","32,328,000",""
"SURVEY","2021","END OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONELESS, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","450,662,000",""
"SURVEY","2021","END OF APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONE-IN, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","34,888,000",""
"SURVEY","2021","END OF APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONELESS, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","413,966,000",""
"SURVEY","2021","END OF MAY","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONE-IN, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","31,624,000",""
"SURVEY","2021","END OF MAY","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONELESS, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","385,051,000",""
"SURVEY","2021","END OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONE-IN, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","29,546,000",""
"SURVEY","2021","END OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONELESS, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","371,969,000",""
"SURVEY","2021","END OF JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONE-IN, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","29,693,000",""
"SURVEY","2021","END OF JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONELESS, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","371,150,000",""
"SURVEY","2021","END OF AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONE-IN, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","30,742,000",""
"SURVEY","2021","END OF AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONELESS, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","384,156,000",""
"SURVEY","2021","END OF SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONE-IN, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","35,384,000",""
"SURVEY","2021","END OF SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONELESS, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","404,237,000",""
"SURVEY","2021","END OF OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONE-IN, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","41,311,000",""
"SURVEY","2021","END OF OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONELESS, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","432,452,000",""
"SURVEY","2021","END OF NOV","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONE-IN, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","38,775,000",""
"SURVEY","2021","END OF NOV","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONELESS, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","451,639,000",""
"SURVEY","2021","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONE-IN, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","39,194,000",""
"SURVEY","2021","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONELESS, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","467,929,000",""
"SURVEY","2020","END OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONE-IN, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","33,231,000",""
"SURVEY","2020","END OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONELESS, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","454,966,000",""
"SURVEY","2020","END OF FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONE-IN, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","34,253,000",""
"SURVEY","2020","END OF FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONELESS, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","460,340,000",""
"SURVEY","2020","END OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONE-IN, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","35,324,000",""
"SURVEY","2020","END OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONELESS, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","467,012,000",""
"SURVEY","2020","END OF APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONE-IN, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","30,842,000",""
"SURVEY","2020","END OF APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONELESS, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","448,614,000",""
"SURVEY","2020","END OF MAY","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONE-IN, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","27,014,000",""
"SURVEY","2020","END OF MAY","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONELESS, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","390,342,000",""
"SURVEY","2020","END OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONE-IN, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","31,227,000",""
"SURVEY","2020","END OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONELESS, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","398,075,000",""
"SURVEY","2020","END OF JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONE-IN, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","33,628,000",""
"SURVEY","2020","END OF JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONELESS, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","406,548,000",""
"SURVEY","2020","END OF AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONE-IN, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","31,441,000",""
"SURVEY","2020","END OF AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONELESS, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","417,895,000",""
"SURVEY","2020","END OF SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONE-IN, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","35,152,000",""
"SURVEY","2020","END OF SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONELESS, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","427,868,000",""
"SURVEY","2020","END OF OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONE-IN, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","39,068,000",""
"SURVEY","2020","END OF OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONELESS, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","461,148,000",""
"SURVEY","2020","END OF NOV","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONE-IN, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","37,539,000",""
"SURVEY","2020","END OF NOV","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONELESS, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","473,883,000",""
"SURVEY","2020","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONE-IN, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","36,598,000",""
"SURVEY","2020","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONELESS, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","499,306,000",""
"SURVEY","2019","END OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONE-IN, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","32,718,000",""
"SURVEY","2019","END OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONELESS, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","477,496,000",""
"SURVEY","2019","END OF FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONE-IN, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","28,358,000",""
"SURVEY","2019","END OF FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONELESS, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","445,621,000",""
"SURVEY","2019","END OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONE-IN, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","29,630,000",""
"SURVEY","2019","END OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONELESS, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","422,310,000",""
"SURVEY","2019","END OF APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONE-IN, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","33,672,000",""
"SURVEY","2019","END OF APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONELESS, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","396,550,000",""
"SURVEY","2019","END OF MAY","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONE-IN, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","32,443,000",""
"SURVEY","2019","END OF MAY","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONELESS, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","372,708,000",""
"SURVEY","2019","END OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONE-IN, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","33,450,000",""
"SURVEY","2019","END OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONELESS, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","372,195,000",""
"SURVEY","2019","END OF JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONE-IN, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","35,540,000",""
"SURVEY","2019","END OF JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONELESS, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","418,924,000",""
"SURVEY","2019","END OF AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","BEEF, BONE-IN, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","36,178,000",""
