"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1,015","4.1"
"CENSUS","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","886,698,017","19.4"
"CENSUS","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, ORGANIC - SALES, MEASURED IN DOZEN","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","399,138,899","16.1"
"CENSUS","2019","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","EGGS","EGGS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","57.7"
"CENSUS","2019","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","EGGS","EGGS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2019","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","EGGS","EGGS, ORGANIC - SALES, MEASURED IN DOZEN","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2019","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","EGGS","EGGS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","36","31.4"
"CENSUS","2019","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","EGGS","EGGS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","30,405,625","38.6"
"CENSUS","2019","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","EGGS","EGGS, ORGANIC - SALES, MEASURED IN DOZEN","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","16,920,771","37.7"
"CENSUS","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","EGGS","EGGS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","58","25.0"
"CENSUS","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","EGGS","EGGS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","63,225,442","(H)"
"CENSUS","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","EGGS","EGGS, ORGANIC - SALES, MEASURED IN DOZEN","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","26,501,506","(H)"
"CENSUS","2019","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","EGGS","EGGS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","11","19.6"
"CENSUS","2019","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","EGGS","EGGS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","4,940,164","65.8"
"CENSUS","2019","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","EGGS","EGGS, ORGANIC - SALES, MEASURED IN DOZEN","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2,464,936","63.5"
"CENSUS","2019","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","EGGS","EGGS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","9","13.0"
"CENSUS","2019","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","EGGS","EGGS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","12,552","42.9"
"CENSUS","2019","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","EGGS","EGGS, ORGANIC - SALES, MEASURED IN DOZEN","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2,600","44.6"
"CENSUS","2019","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","EGGS","EGGS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","13.0"
"CENSUS","2019","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","EGGS","EGGS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2019","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","EGGS","EGGS, ORGANIC - SALES, MEASURED IN DOZEN","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2019","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","EGGS","EGGS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","31.4"
"CENSUS","2019","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","EGGS","EGGS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2019","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","EGGS","EGGS, ORGANIC - SALES, MEASURED IN DOZEN","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2019","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","EGGS","EGGS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","5","31.4"
"CENSUS","2019","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","EGGS","EGGS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","19,975,282","38.6"
"CENSUS","2019","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","EGGS","EGGS, ORGANIC - SALES, MEASURED IN DOZEN","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","10,219,088","37.7"
"CENSUS","2019","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","EGGS","EGGS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","3","57.7"
"CENSUS","2019","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","EGGS","EGGS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","26,500","56.7"
